,id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,goal,shoton,shotoff,foulcommit,card,cross,corner,possession,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
0,17642,17642,17642,2008/2009,1,2008-08-24,509129,9773,9807,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,4.5,15.0,1.25,4.6,12.0,1.25,4.5,9.0,1.29,4.5,8.0,,,,1.29,4.2,9.0,1.3,4.5,10.0,1.33,4.0,8.5,1.3,4.5,9.0,1.33,4.0,9.0
1,17643,17642,17642,2008/2009,1,2008-08-23,509130,9768,7992,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,5.5,15.0,1.2,5.5,12.0,1.2,5.0,10.0,1.2,5.0,11.0,,,,1.2,5.0,11.0,1.25,5.0,11.0,1.2,5.5,11.0,1.22,5.0,12.0,1.2,5.0,12.0
2,17644,17642,17642,2008/2009,1,2008-08-22,509131,7844,10238,1,1,1.0,2.0,4.0,6.0,8.0,4.0,6.0,3.0,7.0,5.0,5.0,1.0,2.0,4.0,6.0,8.0,3.0,5.0,7.0,4.0,6.0,5.0,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0,1.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,8.0,8.0,11.0,97363.0,97493.0,101070.0,97484.0,97495.0,11897.0,30580.0,,,97488.0,149845.0,32034.0,22732.0,98368.0,,93484.0,43295.0,98369.0,45246.0,,29177.0,96965.0,,,,,,,,,2.1,3.25,3.6,1.85,3.3,3.75,2.0,3.1,3.2,1.91,3.2,3.5,,,,1.91,3.1,3.6,1.91,3.2,3.75,1.9,3.1,3.75,2.0,3.2,3.5,1.91,3.1,3.75
3,17645,17642,17642,2008/2009,1,2008-08-23,509132,6403,10264,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.1,2.2,3.55,3.25,1.95,2.7,3.0,2.3,2.88,3.0,2.25,,,,3.1,3.0,2.15,3.2,3.0,2.25,3.1,3.0,2.2,3.2,3.1,2.15,2.88,3.0,2.3
4,17646,17642,17642,2008/2009,1,2008-08-24,509133,10213,10215,1,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,40610.0,39627.0,96846.0,,11752.0,,40933.0,150018.0,,150019.0,150020.0,69341.0,114724.0,96837.0,,31319.0,11726.0,96840.0,96839.0,40558.0,38113.0,106286.0,,,,,,,,,2.15,3.2,3.2,2.2,2.9,3.3,2.1,3.0,3.1,2.1,3.0,3.2,,,,2.15,3.0,3.1,2.1,3.0,3.5,2.1,3.1,3.2,2.2,3.1,3.1,2.1,3.0,3.25
5,17647,17642,17642,2008/2009,1,2008-08-24,509134,7841,9772,1,1,1.0,4.0,6.0,2.0,8.0,5.0,4.0,6.0,8.0,2.0,5.0,1.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,5.0,7.0,7.0,7.0,7.0,11.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,150077.0,11349.0,11861.0,150080.0,150081.0,150082.0,11865.0,,,150083.0,150085.0,30967.0,57071.0,30968.0,40603.0,25994.0,11754.0,40004.0,37548.0,114680.0,34653.0,35425.0,,,,,,,,,6.0,3.5,1.62,5.75,3.8,1.5,4.6,3.4,1.6,5.5,3.4,1.53,,,,5.0,3.5,1.57,5.0,3.5,1.65,4.5,3.4,1.65,5.5,3.4,1.6,5.0,3.4,1.62
6,17648,17642,17642,2008/2009,1,2008-08-24,509135,6421,10214,1,3,1.0,4.0,6.0,2.0,8.0,3.0,5.0,7.0,3.0,5.0,7.0,1.0,2.0,6.0,8.0,4.0,2.0,4.0,8.0,6.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,10.0,10.0,10.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,97498.0,11851.0,,102626.0,150031.0,19372.0,,25617.0,25906.0,97508.0,40968.0,45306.0,31298.0,118601.0,18552.0,150041.0,11833.0,19309.0,96914.0,128045.0,114651.0,34633.0,,,,,,,,,2.4,3.0,3.0,2.35,2.9,3.0,2.4,3.0,2.6,2.38,2.9,2.75,,,,2.3,3.0,2.8,2.4,3.0,2.88,2.4,3.1,2.65,2.45,3.0,2.75,2.38,2.88,2.88
7,17649,17642,17642,2008/2009,1,2008-08-24,509136,9809,10212,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,3.1,2.8,2.4,2.9,2.95,2.5,3.0,2.5,2.38,3.0,2.7,,,,2.4,2.9,2.75,2.5,3.2,2.6,2.4,3.1,2.65,2.4,3.0,2.9,2.5,2.88,2.75
8,17650,17642,17642,2008/2009,10,2008-12-01,509201,9773,10215,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,5.0,11.0,1.2,5.65,11.0,1.22,4.8,9.5,1.2,5.0,11.0,,,,1.2,5.0,11.0,1.22,5.5,11.0,1.22,5.0,11.0,1.25,5.25,10.0,1.25,5.0,9.0
9,17651,17642,17642,2008/2009,10,2008-11-30,509202,9768,7844,2,0,1.0,2.0,4.0,6.0,8.0,2.0,4.0,6.0,8.0,4.0,6.0,1.0,2.0,4.0,8.0,6.0,3.0,5.0,7.0,3.0,5.0,7.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,10.0,10.0,10.0,40604.0,79013.0,40940.0,40607.0,46212.0,40608.0,37549.0,3204.0,30515.0,40948.0,40958.0,97363.0,97493.0,101070.0,,160628.0,,11897.0,30580.0,97488.0,,25998.0,,,,,,,,,1.5,3.6,7.0,1.45,3.8,6.85,1.35,4.0,7.0,1.4,3.75,7.0,,,,1.4,3.75,7.0,1.5,3.75,6.0,1.45,3.75,6.5,1.45,3.8,7.0,1.44,3.6,7.0
