,id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,goal,shoton,shotoff,foulcommit,card,cross,corner,possession,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
0,19694,19694,19694,2008/2009,1,2008-08-09,489981,8596,8548,0,1,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,7,10,10,43230.0,23335.0,23249.0,32553.0,45891.0,,23765.0,37240.0,32831.0,40133.0,22969.0,32496.0,24742.0,32964.0,31257.0,39669.0,32616.0,32618.0,24845.0,36783.0,38495.0,32867.0,,,,,,,,,6.5,4.0,1.5,6.0,3.9,1.45,5.0,3.7,1.5,6.5,3.6,1.44,,,,6.0,3.75,1.44,6.5,4.0,1.44,6.5,3.75,1.45,6.0,3.8,1.5,6.5,3.75,1.44
1,19695,19694,19694,2008/2009,1,2008-08-09,489982,9860,9927,3,2,1,2,4,6,8,2,4,6,8,6,4,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23445.0,34471.0,37307.0,32581.0,32583.0,30335.0,12985.0,32617.0,32593.0,25625.0,93184.0,24985.0,32833.0,43246.0,32844.0,35502.0,32830.0,23083.0,39659.0,37294.0,23728.0,32829.0,,,,,,,,,2.0,3.25,3.25,2.0,3.25,3.3,2.2,3.1,2.8,2.1,3.2,3.0,,,,1.91,3.2,3.5,2.1,3.25,3.0,2.1,3.25,3.1,2.0,3.25,3.4,2.0,3.25,3.25
2,19696,19694,19694,2008/2009,1,2008-08-09,489983,8597,10251,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32693.0,32694.0,32717.0,32700.0,32696.0,32703.0,102777.0,32907.0,46716.0,77727.0,37290.0,43243.0,32969.0,112123.0,32786.0,32622.0,24024.0,23987.0,41226.0,39107.0,32627.0,32706.0,,,,,,,,,2.4,3.2,2.62,2.55,3.25,2.45,2.5,3.1,2.4,2.38,3.2,2.6,,,,2.5,3.1,2.5,2.5,3.2,2.5,2.4,3.2,2.6,2.4,3.25,2.63,2.5,3.2,2.5
3,19697,19694,19694,2008/2009,1,2008-08-09,489984,8485,8066,0,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,7,11,32418.0,32430.0,32412.0,32419.0,40570.0,29720.0,33553.0,32453.0,24813.0,38966.0,32421.0,32679.0,32659.0,,32670.0,32673.0,32942.0,32681.0,32669.0,32664.0,25674.0,41592.0,,,,,,,,,1.73,3.4,4.2,1.65,3.5,4.5,1.65,3.3,4.4,1.73,3.2,4.33,,,,1.67,3.4,4.33,1.67,3.4,4.5,1.65,3.4,4.5,1.73,3.4,4.33,1.73,3.4,4.2
4,19698,19694,19694,2008/2009,1,2008-08-10,489985,9925,9800,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30974.0,33792.0,41071.0,41060.0,41068.0,32455.0,25382.0,32567.0,32448.0,37798.0,32826.0,35513.0,23446.0,23720.0,32968.0,35612.0,32975.0,33915.0,25128.0,47190.0,32978.0,34237.0,,,,,,,,,1.17,6.5,17.0,1.15,6.5,12.0,1.15,6.0,12.0,1.17,5.5,12.0,,,,1.14,5.5,15.0,1.17,5.5,13.0,1.14,6.0,15.0,1.17,5.5,13.0,1.17,5.5,13.0
5,19699,19694,19694,2008/2009,1,2008-08-11,489986,8429,9938,3,1,1,4,6,8,2,2,4,6,8,6,4,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,11024.0,67228.0,32917.0,23729.0,,32956.0,28901.0,101192.0,32924.0,35539.0,25166.0,69259.0,25131.0,32891.0,4747.0,32661.0,35463.0,43275.0,35972.0,75696.0,34563.0,92790.0,,,,,,,,,3.6,3.25,2.1,2.8,3.25,2.25,3.0,3.1,2.1,2.75,3.25,2.2,,,,3.0,3.2,2.1,3.0,3.25,2.1,3.0,3.2,2.2,2.86,3.2,2.25,2.88,3.2,2.2
6,19700,19694,19694,2008/2009,10,2008-10-25,490035,9925,10251,4,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30974.0,33792.0,41071.0,41060.0,32455.0,30851.0,25382.0,32567.0,41061.0,56852.0,32826.0,25199.0,32969.0,32786.0,34654.0,32630.0,32627.0,39107.0,32871.0,34447.0,39660.0,32706.0,,,,,,,,,1.33,5.0,9.0,1.3,5.0,7.25,1.3,4.2,8.0,1.29,4.5,8.0,,,,1.29,4.5,8.0,1.36,4.0,8.0,1.35,4.35,7.5,1.35,4.5,8.0,1.33,4.33,9.0
7,19701,19694,19694,2008/2009,10,2008-10-25,490036,9938,9800,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,69259.0,25131.0,4747.0,32661.0,14039.0,35463.0,25579.0,34563.0,33693.0,23512.0,133997.0,35513.0,41062.0,32968.0,23720.0,35612.0,23446.0,32503.0,32975.0,33915.0,32978.0,31436.0,,,,,,,,,1.73,3.5,5.0,1.75,3.4,4.1,1.8,3.2,3.7,1.73,3.4,4.0,,,,1.7,3.3,4.33,1.73,3.4,4.33,1.73,3.3,4.35,1.8,3.4,4.25,1.73,3.4,4.5
8,19702,19694,19694,2008/2009,10,2008-10-25,490037,9860,8485,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,9183.0,46359.0,32581.0,37307.0,32583.0,32576.0,32591.0,32617.0,12985.0,70969.0,33956.0,32418.0,32457.0,32419.0,32436.0,32430.0,29669.0,38761.0,32412.0,23839.0,38966.0,32427.0,,,,,,,,,2.0,3.4,3.75,1.8,3.4,3.8,1.9,3.2,3.4,1.8,3.3,3.75,,,,1.91,3.2,3.5,2.0,3.25,3.4,1.9,3.3,3.6,2.0,3.25,3.6,1.91,3.4,3.6
9,19703,19694,19694,2008/2009,10,2008-10-25,490038,8597,8596,1,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32693.0,32694.0,32697.0,23151.0,32711.0,32703.0,32907.0,102777.0,46716.0,37290.0,77727.0,40583.0,23335.0,32553.0,45891.0,24705.0,32831.0,37240.0,23254.0,25434.0,32414.0,35527.0,,,,,,,,,2.0,3.4,3.75,1.9,3.15,3.8,2.0,3.2,3.1,1.8,3.25,3.75,,,,1.83,3.3,3.6,1.83,3.4,3.75,1.9,3.3,3.6,1.9,3.4,3.75,1.91,3.25,3.75
10,19704,19694,19694,2008/2009,10,2008-10-25,490039,8066,9927,1,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32679.0,32659.0,32670.0,74843.0,32673.0,25674.0,32681.0,32942.0,32669.0,31916.0,22444.0,24985.0,37294.0,32844.0,39659.0,35502.0,32829.0,23083.0,32830.0,72464.0,23728.0,23117.0,,,,,,,,,2.4,3.4,2.8,2.3,3.25,2.7,2.3,3.1,2.6,2.25,3.2,2.75,,,,2.25,3.2,2.75,2.38,3.25,2.63,2.4,3.25,2.6,2.4,3.25,2.75,2.25,3.3,2.88
11,19705,19694,19694,2008/2009,10,2008-10-25,490040,8429,8548,1,3,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,11024.0,32956.0,23729.0,17480.0,67228.0,28901.0,101192.0,32924.0,31454.0,75416.0,108917.0,32496.0,32964.0,23998.0,31257.0,39669.0,23792.0,30585.0,32618.0,38837.0,32867.0,34177.0,,,,,,,,,10.0,4.75,1.33,6.25,4.75,1.35,8.0,4.2,1.3,8.0,4.5,1.29,,,,8.0,4.5,1.29,8.0,4.33,1.33,8.5,4.5,1.35,8.0,4.5,1.35,9.0,4.33,1.33
12,19706,19694,19694,2008/2009,11,2008-11-01,490041,8548,8066,5,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32496.0,32964.0,31257.0,23998.0,39669.0,23792.0,30585.0,32618.0,32865.0,32867.0,34177.0,32679.0,32659.0,36287.0,32670.0,32673.0,32669.0,32681.0,32664.0,32942.0,41592.0,25674.0,,,,,,,,,1.22,6.0,13.0,1.17,6.25,10.5,1.2,5.0,10.0,1.17,5.5,12.0,,,,1.2,5.0,11.0,1.2,5.5,11.0,1.2,5.5,12.0,1.2,5.5,11.0,1.2,5.5,12.0
13,19707,19694,19694,2008/2009,11,2008-11-01,490042,9927,8429,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,24985.0,32833.0,39659.0,32844.0,35502.0,32829.0,37294.0,23083.0,32836.0,23728.0,23117.0,11024.0,31454.0,25505.0,17480.0,67228.0,32956.0,28901.0,32924.0,32971.0,37243.0,35539.0,,,,,,,,,1.73,3.75,4.5,1.8,3.4,3.8,1.65,3.3,4.4,1.67,3.6,4.0,,,,1.7,3.3,4.33,1.73,3.4,4.33,1.7,3.4,4.35,1.73,3.4,4.33,1.73,3.4,4.5
14,19708,19694,19694,2008/2009,11,2008-11-02,490043,9860,9925,0,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,9183.0,46359.0,37307.0,32581.0,32583.0,32580.0,32617.0,12985.0,32591.0,32593.0,33956.0,30974.0,33792.0,41071.0,41060.0,41067.0,41061.0,25382.0,32567.0,32455.0,32826.0,56852.0,,,,,,,,,5.5,3.5,1.67,4.8,3.6,1.6,4.4,3.3,1.65,5.0,3.5,1.57,,,,5.5,3.5,1.53,5.0,3.5,1.62,5.0,3.6,1.65,5.5,3.4,1.6,5.0,3.4,1.67
15,19709,19694,19694,2008/2009,11,2008-11-01,490044,8485,8597,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32418.0,29669.0,32436.0,32419.0,40570.0,32430.0,38761.0,32412.0,23839.0,32427.0,38966.0,32693.0,32694.0,34442.0,32697.0,17568.0,32907.0,46716.0,102777.0,32711.0,77727.0,37290.0,,,,,,,,,2.2,3.4,3.2,2.25,3.25,2.8,2.1,3.0,3.1,2.1,3.2,3.0,,,,2.1,3.2,3.0,2.25,3.25,2.88,2.0,3.25,3.25,2.1,3.2,3.2,2.25,3.2,3.0
16,19710,19694,19694,2008/2009,11,2008-11-01,490045,9800,10251,0,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,35513.0,23446.0,32968.0,41062.0,35612.0,32975.0,32503.0,33915.0,33696.0,31436.0,32978.0,25199.0,32969.0,32786.0,34654.0,32630.0,39107.0,32871.0,34447.0,32627.0,32706.0,39660.0,,,,,,,,,2.6,3.3,2.62,2.45,3.25,2.55,2.5,3.0,2.5,2.5,3.25,2.4,,,,2.5,3.1,2.5,2.5,3.25,2.5,2.6,3.25,2.4,2.5,3.25,2.5,2.5,3.25,2.6
17,19711,19694,19694,2008/2009,11,2008-11-01,490046,8596,9938,0,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,40583.0,23335.0,24705.0,32553.0,45891.0,32831.0,25434.0,37240.0,23254.0,23765.0,32414.0,69259.0,25131.0,14039.0,4747.0,32661.0,35463.0,34563.0,43275.0,25579.0,33693.0,75696.0,,,,,,,,,2.4,3.3,2.88,2.35,3.25,2.65,2.5,3.0,2.5,2.4,3.25,2.5,,,,2.4,3.1,2.6,2.4,3.25,2.63,2.4,3.25,2.6,2.38,3.25,2.63,2.38,3.25,2.75
18,19712,19694,19694,2008/2009,12,2008-11-08,490047,9925,9927,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32658.0,33792.0,41071.0,41060.0,41067.0,25382.0,32567.0,32455.0,41061.0,32826.0,56852.0,24985.0,32833.0,32844.0,39659.0,35502.0,37294.0,23083.0,32836.0,23728.0,23117.0,32829.0,,,,,,,,,1.29,5.25,11.0,1.22,6.0,8.0,1.25,4.5,9.0,1.29,5.5,10.0,,,,1.25,4.5,10.0,1.25,5.0,10.0,1.22,5.5,10.0,1.25,4.75,11.0,1.25,5.0,11.0
19,19713,19694,19694,2008/2009,12,2008-11-08,490048,9938,8485,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,69259.0,25131.0,4747.0,32661.0,14039.0,35463.0,35972.0,34563.0,33693.0,43275.0,133997.0,32418.0,32430.0,32436.0,32412.0,29669.0,29720.0,32453.0,38761.0,23839.0,38966.0,32427.0,,,,,,,,,2.05,3.3,3.6,2.1,3.25,3.05,1.9,3.1,3.5,2.1,3.3,3.5,,,,2.0,3.2,3.2,2.0,3.25,3.4,1.85,3.3,3.75,2.1,3.2,3.2,2.0,3.25,3.5
20,19714,19694,19694,2008/2009,12,2008-11-08,490049,10251,8066,1,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,25199.0,32969.0,32622.0,32786.0,32871.0,34654.0,56816.0,32706.0,39107.0,32627.0,39660.0,34213.0,32659.0,36287.0,32670.0,32673.0,32942.0,32681.0,32669.0,17749.0,25674.0,22444.0,,,,,,,,,1.67,3.6,5.5,1.65,3.5,4.55,1.65,3.3,4.4,1.73,3.5,5.0,,,,1.62,3.5,4.5,1.67,3.5,4.5,1.6,3.5,5.0,1.66,3.5,4.5,1.67,3.5,4.75
21,19715,19694,19694,2008/2009,12,2008-11-09,490050,8597,8548,0,4,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32693.0,32694.0,34442.0,23151.0,17568.0,32932.0,32711.0,32907.0,46716.0,80298.0,37290.0,32496.0,32964.0,39669.0,23998.0,31257.0,32618.0,30585.0,32865.0,23792.0,32867.0,34177.0,,,,,,,,,7.5,4.2,1.44,6.25,3.8,1.45,5.0,3.7,1.5,7.0,3.75,1.53,,,,6.0,3.75,1.44,7.0,4.0,1.4,7.5,4.2,1.45,6.75,3.75,1.44,7.5,4.0,1.4
22,19716,19694,19694,2008/2009,12,2008-11-08,490051,9800,9860,0,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,35513.0,35612.0,23720.0,32968.0,23446.0,32503.0,32975.0,33915.0,33696.0,32978.0,31436.0,9183.0,32583.0,34471.0,32581.0,70969.0,32591.0,32593.0,46359.0,32617.0,32576.0,33956.0,,,,,,,,,2.75,3.25,2.6,2.6,3.25,2.4,2.5,3.0,2.5,2.6,3.4,2.6,,,,2.62,3.1,2.38,2.5,3.25,2.5,2.4,3.25,2.6,2.55,3.2,2.5,2.6,3.25,2.5
23,19717,19694,19694,2008/2009,12,2008-11-08,490052,8429,8596,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,11024.0,17480.0,32917.0,23729.0,67228.0,28901.0,101192.0,32924.0,32971.0,75416.0,35539.0,40583.0,23335.0,32553.0,45891.0,24705.0,23765.0,32831.0,37240.0,23254.0,25434.0,32414.0,,,,,,,,,2.8,3.25,2.5,2.5,3.25,2.5,2.5,3.0,2.5,2.62,3.3,2.6,,,,2.5,3.1,2.5,2.5,3.25,2.5,2.8,3.25,2.25,2.5,3.2,2.55,2.5,3.25,2.6
24,19718,19694,19694,2008/2009,13,2008-11-12,490053,9925,8597,3,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32658.0,33792.0,41071.0,41060.0,41067.0,30851.0,25382.0,39194.0,41061.0,56852.0,32826.0,32693.0,32694.0,23151.0,32824.0,17568.0,80298.0,32907.0,102777.0,4939.0,32932.0,46716.0,,,,,,,,,1.2,6.0,15.0,1.2,6.0,9.0,1.17,5.5,11.0,1.2,5.0,11.0,,,,1.2,5.0,11.0,1.22,5.0,11.0,1.2,5.5,11.0,1.2,5.5,12.0,1.2,5.5,12.0
25,19719,19694,19694,2008/2009,13,2008-11-12,490054,9938,10251,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,69259.0,25131.0,4747.0,32661.0,14039.0,35463.0,35972.0,34563.0,33693.0,75696.0,133997.0,43243.0,34654.0,32622.0,41226.0,32871.0,34447.0,,23987.0,39107.0,32706.0,39660.0,,,,,,,,,1.91,3.4,4.0,2.05,3.3,3.1,2.0,3.1,3.2,1.73,3.4,4.0,,,,1.91,3.2,3.5,1.91,3.25,3.6,1.85,3.3,3.6,1.95,3.2,3.6,1.91,3.25,3.75
26,19720,19694,19694,2008/2009,13,2008-11-12,490055,9927,8548,0,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,24985.0,32833.0,39659.0,32844.0,35502.0,32830.0,23083.0,37294.0,32836.0,23728.0,23117.0,32496.0,32964.0,23998.0,31257.0,39669.0,23792.0,30585.0,24978.0,36783.0,34177.0,32867.0,,,,,,,,,6.5,4.0,1.53,5.5,3.8,1.5,5.0,3.7,1.5,5.5,3.6,1.5,,,,5.5,3.6,1.5,5.5,3.75,1.53,5.5,3.75,1.5,5.5,3.6,1.55,6.5,3.75,1.5
