Stage,,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,30,30,30,30,30,30,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,34,35,35,35,35,35,35,36,36,36,36,36,36,37,37,37,37,37,37,38,38,38,38,38,38
,,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals
Season,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/2009,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,1.0,1.0,0.0,3.0,0.5,14.0,0.0,1.0,1.0,6.0,0.8571428571428571,5.0,3.0,4.0,1.0,9.0,0.9,3.0,7.0,8.0,1.0,12.0,1.0,1.0,9.0,11.0,2.0,12.0,0.8571428571428571,4.0,8.0,12.0,4.0,13.0,0.7647058823529411,5.0,8.0,13.0,5.0,16.0,0.8,5.0,10.0,16.0,6.0,19.0,0.8260869565217391,4.0,12.0,18.0,6.0,20.0,0.7692307692307693,4.0,12.0,22.0,10.0,20.0,0.7692307692307693,4.0,11.0,23.0,12.0,23.0,0.7931034482758621,4.0,12.0,25.0,13.0,23.0,0.71875,4.0,10.0,25.0,15.0,23.0,0.696969696969697,5.0,7.0,25.0,18.0,26.0,0.7647058823529411,4.0,8.0,27.0,19.0,29.0,0.7837837837837838,4.0,9.0,28.0,19.0,30.0,0.7894736842105263,5.0,9.0,29.0,20.0,31.0,0.7948717948717948,5.0,9.0,30.0,21.0,32.0,0.7619047619047619,5.0,9.0,32.0,23.0,35.0,0.7777777777777778,5.0,10.0,33.0,23.0,38.0,0.8085106382978723,5.0,11.0,34.0,23.0,41.0,0.82,5.0,13.0,37.0,24.0,42.0,0.7924528301886793,5.0,13.0,38.0,25.0,43.0,0.7678571428571429,5.0,13.0,38.0,25.0,44.0,0.7457627118644068,5.0,13.0,38.0,25.0,45.0,0.7258064516129032,5.0,13.0,38.0,25.0,46.0,0.7076923076923077,5.0,13.0,38.0,25.0,49.0,0.7205882352941176,5.0,15.0,41.0,26.0,52.0,0.7647058823529411,4.0,19.0,45.0,26.0,55.0,0.8088235294117647,4.0,21.0,48.0,27.0,58.0,0.8169014084507042,4.0,23.0,50.0,27.0,61.0,0.8243243243243243,4.0,26.0,54.0,28.0,62.0,0.8051948051948052,4.0,26.0,58.0,32.0,65.0,0.8125,4.0,28.0,60.0,32.0,68.0,0.8192771084337349,4.0,31.0,63.0,32.0,68.0,0.7906976744186046,4.0,28.0,64.0,36.0,69.0,0.7931034482758621,4.0,28.0,64.0,36.0,72.0,0.8,4.0,31.0,68.0,37.0
2008/2009,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,0.5,7.0,1.0,6.0,5.0,4.0,0.5714285714285714,8.0,1.0,6.0,5.0,7.0,0.7,5.0,2.0,8.0,6.0,10.0,0.8333333333333334,4.0,3.0,10.0,7.0,13.0,0.9285714285714286,3.0,4.0,12.0,8.0,13.0,0.7647058823529411,6.0,2.0,12.0,10.0,14.0,0.7,6.0,2.0,12.0,10.0,17.0,0.7391304347826086,6.0,6.0,16.0,10.0,20.0,0.7692307692307693,5.0,7.0,19.0,12.0,20.0,0.7692307692307693,5.0,5.0,19.0,14.0,20.0,0.6896551724137931,5.0,4.0,20.0,16.0,23.0,0.71875,5.0,6.0,22.0,16.0,24.0,0.7272727272727273,4.0,6.0,22.0,16.0,25.0,0.7352941176470589,5.0,6.0,22.0,16.0,28.0,0.7567567567567568,5.0,7.0,25.0,18.0,31.0,0.8157894736842105,4.0,9.0,29.0,20.0,34.0,0.8717948717948718,4.0,10.0,30.0,20.0,35.0,0.8333333333333334,4.0,10.0,32.0,22.0,38.0,0.8444444444444444,4.0,11.0,33.0,22.0,41.0,0.8723404255319149,4.0,12.0,35.0,23.0,44.0,0.88,4.0,13.0,37.0,24.0,47.0,0.8867924528301887,4.0,14.0,38.0,24.0,48.0,0.8571428571428571,4.0,14.0,38.0,24.0,51.0,0.864406779661017,3.0,16.0,40.0,24.0,51.0,0.8225806451612904,4.0,15.0,40.0,25.0,52.0,0.8,4.0,15.0,42.0,27.0,52.0,0.7647058823529411,4.0,13.0,42.0,29.0,52.0,0.7647058823529411,5.0,12.0,43.0,31.0,52.0,0.7647058823529411,5.0,7.0,43.0,36.0,52.0,0.7323943661971831,5.0,6.0,45.0,39.0,53.0,0.7162162162162162,5.0,6.0,48.0,42.0,54.0,0.7012987012987013,5.0,6.0,49.0,43.0,55.0,0.6875,5.0,6.0,50.0,44.0,58.0,0.6987951807228916,5.0,7.0,51.0,44.0,58.0,0.6744186046511628,5.0,5.0,52.0,47.0,59.0,0.6781609195402298,6.0,5.0,53.0,48.0,62.0,0.6888888888888889,6.0,6.0,54.0,48.0
2008/2009,Blackburn Rovers,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,3.0,2.0,4.0,0.6666666666666666,3.0,1.0,4.0,3.0,4.0,0.5714285714285714,10.0,-2.0,5.0,7.0,4.0,0.4,18.0,-6.0,5.0,11.0,7.0,0.5833333333333334,11.0,-5.0,6.0,11.0,10.0,0.7142857142857143,8.0,-4.0,8.0,12.0,10.0,0.5882352941176471,10.0,-6.0,8.0,14.0,11.0,0.55,9.0,-6.0,8.0,14.0,12.0,0.5217391304347826,11.0,-6.0,9.0,15.0,12.0,0.46153846153846156,13.0,-7.0,11.0,18.0,13.0,0.5,13.0,-7.0,13.0,20.0,13.0,0.4482758620689655,15.0,-9.0,13.0,22.0,13.0,0.40625,18.0,-10.0,14.0,24.0,13.0,0.3939393939393939,19.0,-11.0,14.0,25.0,13.0,0.38235294117647056,19.0,-12.0,16.0,28.0,13.0,0.35135135135135137,19.0,-14.0,17.0,31.0,13.0,0.34210526315789475,19.0,-17.0,17.0,34.0,16.0,0.41025641025641024,19.0,-14.0,20.0,34.0,17.0,0.40476190476190477,19.0,-14.0,20.0,34.0,18.0,0.4,19.0,-14.0,22.0,36.0,21.0,0.44680851063829785,17.0,-13.0,24.0,37.0,24.0,0.48,13.0,-10.0,27.0,37.0,25.0,0.4716981132075472,14.0,-10.0,29.0,39.0,26.0,0.4642857142857143,15.0,-10.0,29.0,39.0,26.0,0.4406779661016949,16.0,-12.0,29.0,41.0,26.0,0.41935483870967744,17.0,-13.0,30.0,43.0,29.0,0.4461538461538462,14.0,-12.0,32.0,44.0,30.0,0.4411764705882353,15.0,-12.0,32.0,44.0,30.0,0.4411764705882353,15.0,-16.0,32.0,48.0,31.0,0.45588235294117646,17.0,-16.0,33.0,49.0,34.0,0.4788732394366197,14.0,-15.0,35.0,50.0,34.0,0.4594594594594595,16.0,-19.0,35.0,54.0,34.0,0.44155844155844154,17.0,-20.0,35.0,55.0,37.0,0.4625,15.0,-18.0,37.0,55.0,37.0,0.4457831325301205,15.0,-20.0,38.0,58.0,40.0,0.46511627906976744,14.0,-18.0,40.0,58.0,40.0,0.45977011494252873,15.0,-20.0,40.0,60.0,41.0,0.45555555555555555,15.0,-20.0,40.0,60.0
2008/2009,Bolton Wanderers,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,0.5,9.0,1.0,3.0,2.0,4.0,0.5714285714285714,9.0,1.0,3.0,2.0,4.0,0.4,14.0,0.0,4.0,4.0,4.0,0.3333333333333333,16.0,-2.0,5.0,7.0,4.0,0.2857142857142857,17.0,-4.0,5.0,9.0,7.0,0.4117647058823529,16.0,-2.0,8.0,10.0,8.0,0.4,15.0,-2.0,8.0,10.0,8.0,0.34782608695652173,16.0,-4.0,8.0,12.0,8.0,0.3076923076923077,19.0,-5.0,8.0,13.0,11.0,0.4230769230769231,17.0,-3.0,10.0,13.0,14.0,0.4827586206896552,10.0,-2.0,11.0,13.0,14.0,0.4375,13.0,-4.0,11.0,15.0,17.0,0.5151515151515151,12.0,-2.0,14.0,16.0,20.0,0.5882352941176471,9.0,1.0,18.0,17.0,20.0,0.5405405405405406,9.0,-1.0,18.0,19.0,20.0,0.5263157894736842,11.0,-3.0,20.0,23.0,23.0,0.5897435897435898,9.0,-2.0,22.0,24.0,23.0,0.5476190476190477,10.0,-5.0,22.0,27.0,23.0,0.5111111111111111,11.0,-6.0,22.0,28.0,23.0,0.48936170212765956,13.0,-7.0,22.0,29.0,23.0,0.46,14.0,-8.0,22.0,30.0,24.0,0.4528301886792453,16.0,-8.0,24.0,32.0,27.0,0.48214285714285715,12.0,-7.0,27.0,34.0,27.0,0.4576271186440678,14.0,-10.0,27.0,37.0,30.0,0.4838709677419355,12.0,-9.0,29.0,38.0,33.0,0.5076923076923077,10.0,-8.0,30.0,38.0,33.0,0.4852941176470588,11.0,-10.0,30.0,40.0,33.0,0.4852941176470588,12.0,-12.0,31.0,43.0,34.0,0.5,12.0,-12.0,32.0,44.0,37.0,0.5211267605633803,12.0,-9.0,36.0,45.0,37.0,0.5,12.0,-10.0,39.0,49.0,37.0,0.4805194805194805,13.0,-11.0,39.0,50.0,38.0,0.475,13.0,-11.0,40.0,51.0,39.0,0.46987951807228917,12.0,-11.0,40.0,51.0,40.0,0.46511627906976744,13.0,-11.0,40.0,51.0,41.0,0.47126436781609193,13.0,-11.0,41.0,52.0,41.0,0.45555555555555555,13.0,-12.0,41.0,53.0
2008/2009,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,4.0,0.0,6.0,1.0,1.0,5.0,5.0,0.0,7.0,1.0,1.0,5.0,6.0,1.0,10.0,1.0,1.0,7.0,9.0,2.0,11.0,0.9166666666666666,2.0,7.0,10.0,3.0,14.0,1.0,1.0,9.0,12.0,3.0,17.0,1.0,1.0,11.0,14.0,3.0,20.0,1.0,1.0,16.0,19.0,3.0,20.0,0.8695652173913043,2.0,15.0,19.0,4.0,23.0,0.8846153846153846,2.0,18.0,22.0,4.0,26.0,1.0,1.0,23.0,27.0,4.0,29.0,1.0,1.0,25.0,29.0,4.0,32.0,1.0,1.0,28.0,32.0,4.0,33.0,1.0,1.0,28.0,32.0,4.0,33.0,0.9705882352941176,2.0,27.0,33.0,6.0,36.0,0.972972972972973,2.0,29.0,35.0,6.0,37.0,0.9736842105263158,2.0,29.0,36.0,7.0,38.0,0.9743589743589743,2.0,29.0,36.0,7.0,41.0,0.9761904761904762,2.0,31.0,38.0,7.0,42.0,0.9333333333333333,3.0,31.0,40.0,9.0,42.0,0.8936170212765957,3.0,28.0,40.0,12.0,45.0,0.9,3.0,29.0,42.0,13.0,48.0,0.9056603773584906,2.0,31.0,44.0,13.0,48.0,0.8571428571428571,3.0,29.0,44.0,15.0,49.0,0.8305084745762712,4.0,29.0,44.0,15.0,52.0,0.8387096774193549,3.0,30.0,45.0,15.0,55.0,0.8461538461538461,2.0,31.0,47.0,16.0,58.0,0.8529411764705882,2.0,32.0,48.0,16.0,61.0,0.8970588235294118,2.0,33.0,49.0,16.0,61.0,0.8970588235294118,3.0,32.0,49.0,17.0,64.0,0.9014084507042254,3.0,34.0,51.0,17.0,67.0,0.9054054054054054,3.0,35.0,55.0,20.0,68.0,0.8831168831168831,3.0,35.0,55.0,20.0,71.0,0.8875,3.0,36.0,56.0,20.0,74.0,0.891566265060241,3.0,38.0,59.0,21.0,77.0,0.8953488372093024,3.0,41.0,63.0,22.0,80.0,0.9195402298850575,3.0,43.0,65.0,22.0,83.0,0.9222222222222223,3.0,44.0,68.0,24.0
2008/2009,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-1.0,2.0,3.0,3.0,0.5,10.0,0.0,4.0,4.0,3.0,0.42857142857142855,16.0,-3.0,4.0,7.0,6.0,0.6,11.0,-2.0,7.0,9.0,7.0,0.5833333333333334,10.0,-2.0,9.0,11.0,7.0,0.5,14.0,-4.0,9.0,13.0,8.0,0.47058823529411764,15.0,-4.0,11.0,15.0,8.0,0.4,16.0,-6.0,12.0,18.0,9.0,0.391304347826087,14.0,-6.0,13.0,19.0,12.0,0.46153846153846156,12.0,-5.0,14.0,19.0,15.0,0.5769230769230769,7.0,-4.0,15.0,19.0,18.0,0.6206896551724138,7.0,-2.0,18.0,20.0,19.0,0.59375,7.0,-2.0,19.0,21.0,19.0,0.5757575757575758,7.0,-3.0,19.0,22.0,22.0,0.6470588235294118,7.0,-2.0,20.0,22.0,22.0,0.5945945945945946,8.0,-3.0,22.0,25.0,25.0,0.6578947368421053,7.0,-2.0,23.0,25.0,26.0,0.6666666666666666,7.0,-2.0,23.0,25.0,29.0,0.6904761904761905,6.0,-1.0,24.0,25.0,32.0,0.7111111111111111,6.0,2.0,27.0,25.0,35.0,0.7446808510638298,6.0,4.0,29.0,25.0,36.0,0.72,6.0,4.0,30.0,26.0,37.0,0.6981132075471698,6.0,4.0,31.0,27.0,37.0,0.6607142857142857,6.0,3.0,31.0,28.0,40.0,0.6779661016949152,6.0,6.0,34.0,28.0,41.0,0.6612903225806451,6.0,6.0,34.0,28.0,44.0,0.676923076923077,6.0,8.0,36.0,28.0,45.0,0.6617647058823529,6.0,8.0,36.0,28.0,48.0,0.7058823529411765,6.0,10.0,39.0,29.0,48.0,0.7058823529411765,6.0,9.0,40.0,31.0,51.0,0.7183098591549296,6.0,13.0,44.0,31.0,52.0,0.7027027027027027,6.0,13.0,47.0,34.0,53.0,0.6883116883116883,6.0,13.0,47.0,34.0,53.0,0.6625,6.0,12.0,48.0,36.0,56.0,0.6746987951807228,6.0,14.0,50.0,36.0,57.0,0.6627906976744186,6.0,14.0,50.0,36.0,60.0,0.6896551724137931,5.0,16.0,53.0,37.0,63.0,0.7,5.0,18.0,55.0,37.0
2008/2009,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-1.0,1.0,2.0,3.0,0.5,12.0,0.0,2.0,2.0,3.0,0.42857142857142855,17.0,-3.0,2.0,5.0,6.0,0.6,12.0,-2.0,4.0,6.0,6.0,0.5,13.0,-3.0,4.0,7.0,6.0,0.42857142857142855,16.0,-4.0,5.0,9.0,6.0,0.35294117647058826,17.0,-5.0,5.0,10.0,7.0,0.35,18.0,-5.0,5.0,10.0,8.0,0.34782608695652173,17.0,-5.0,6.0,11.0,11.0,0.4230769230769231,14.0,-3.0,8.0,11.0,11.0,0.4230769230769231,18.0,-4.0,8.0,12.0,14.0,0.4827586206896552,11.0,-3.0,10.0,13.0,17.0,0.53125,10.0,-2.0,12.0,14.0,18.0,0.5454545454545454,9.0,-2.0,12.0,14.0,19.0,0.5588235294117647,11.0,-2.0,12.0,14.0,20.0,0.5405405405405406,10.0,-2.0,13.0,15.0,21.0,0.5526315789473685,10.0,-2.0,13.0,15.0,24.0,0.6153846153846154,8.0,1.0,16.0,15.0,25.0,0.5952380952380952,9.0,1.0,16.0,15.0,26.0,0.5777777777777777,9.0,1.0,18.0,17.0,26.0,0.5531914893617021,9.0,0.0,19.0,19.0,26.0,0.52,11.0,-2.0,20.0,22.0,26.0,0.49056603773584906,12.0,-3.0,20.0,23.0,29.0,0.5178571428571429,9.0,-1.0,23.0,24.0,30.0,0.5084745762711864,10.0,-1.0,23.0,24.0,33.0,0.532258064516129,8.0,1.0,25.0,24.0,34.0,0.5230769230769231,9.0,1.0,25.0,24.0,34.0,0.5,10.0,0.0,25.0,25.0,37.0,0.5441176470588235,9.0,2.0,28.0,26.0,40.0,0.5882352941176471,9.0,4.0,30.0,26.0,40.0,0.5633802816901409,9.0,3.0,30.0,27.0,43.0,0.581081081081081,8.0,5.0,33.0,28.0,44.0,0.5714285714285714,8.0,5.0,33.0,28.0,47.0,0.5875,7.0,6.0,34.0,28.0,47.0,0.5662650602409639,9.0,4.0,35.0,31.0,50.0,0.5813953488372093,7.0,6.0,38.0,32.0,53.0,0.6091954022988506,7.0,7.0,39.0,32.0,53.0,0.5888888888888889,7.0,5.0,39.0,34.0
