Stage,,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,30,30,30,30,30,30,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,34
,,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals
Season,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/2009,1. FC Köln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-1.0,1.0,2.0,1.0,0.16666666666666666,13.0,-1.0,2.0,3.0,4.0,0.5714285714285714,9.0,1.0,4.0,3.0,4.0,0.4,14.0,-2.0,4.0,6.0,4.0,0.36363636363636365,14.0,-4.0,4.0,8.0,7.0,0.5384615384615384,11.0,-3.0,5.0,8.0,10.0,0.625,10.0,-2.0,7.0,9.0,13.0,0.7647058823529411,9.0,-1.0,8.0,9.0,13.0,0.6842105263157895,11.0,-3.0,8.0,11.0,13.0,0.5909090909090909,11.0,-4.0,8.0,12.0,16.0,0.64,11.0,-2.0,11.0,13.0,19.0,0.76,8.0,-1.0,13.0,14.0,19.0,0.6785714285714286,10.0,-3.0,14.0,17.0,19.0,0.6129032258064516,10.0,-5.0,15.0,20.0,19.0,0.5588235294117647,11.0,-6.0,16.0,22.0,19.0,0.5588235294117647,12.0,-7.0,17.0,24.0,22.0,0.6285714285714286,11.0,-6.0,19.0,25.0,23.0,0.6052631578947368,11.0,-6.0,20.0,26.0,24.0,0.6153846153846154,11.0,-6.0,22.0,28.0,25.0,0.625,11.0,-6.0,22.0,28.0,28.0,0.6666666666666666,10.0,-5.0,24.0,29.0,29.0,0.6744186046511628,10.0,-5.0,25.0,30.0,29.0,0.6304347826086957,11.0,-6.0,25.0,31.0,29.0,0.5918367346938775,11.0,-8.0,27.0,35.0,32.0,0.6530612244897959,11.0,-6.0,29.0,35.0,32.0,0.6274509803921569,11.0,-8.0,29.0,37.0,32.0,0.5925925925925926,11.0,-10.0,30.0,40.0,32.0,0.5614035087719298,12.0,-13.0,30.0,43.0,32.0,0.5614035087719298,12.0,-14.0,31.0,45.0,35.0,0.5833333333333334,11.0,-13.0,32.0,45.0,35.0,0.5833333333333334,12.0,-15.0,32.0,47.0,35.0,0.5555555555555556,12.0,-16.0,33.0,49.0,38.0,0.5757575757575758,12.0,-15.0,34.0,49.0,39.0,0.5652173913043478,12.0,-15.0,35.0,50.0
2008/2009,1899 Hoffenheim,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,6.0,1.0,1.0,4.0,4.0,0.0,6.0,0.8571428571428571,6.0,1.0,6.0,5.0,7.0,0.7,6.0,1.0,6.0,5.0,10.0,0.9090909090909091,2.0,4.0,10.0,6.0,10.0,0.7692307692307693,6.0,3.0,14.0,11.0,13.0,0.8125,2.0,4.0,16.0,12.0,16.0,0.9411764705882353,2.0,7.0,21.0,14.0,19.0,1.0,1.0,10.0,24.0,14.0,22.0,1.0,1.0,12.0,27.0,15.0,25.0,1.0,1.0,15.0,31.0,16.0,25.0,1.0,2.0,14.0,31.0,17.0,28.0,1.0,2.0,15.0,34.0,19.0,31.0,1.0,1.0,17.0,37.0,20.0,34.0,1.0,1.0,20.0,40.0,20.0,34.0,1.0,1.0,19.0,41.0,22.0,35.0,1.0,1.0,19.0,42.0,23.0,38.0,1.0,1.0,21.0,44.0,23.0,39.0,1.0,1.0,21.0,45.0,24.0,39.0,0.975,2.0,18.0,46.0,28.0,40.0,0.9523809523809523,2.0,18.0,49.0,31.0,41.0,0.9534883720930233,3.0,18.0,49.0,31.0,42.0,0.9130434782608695,2.0,18.0,49.0,31.0,43.0,0.8775510204081632,5.0,18.0,50.0,32.0,44.0,0.8979591836734694,5.0,18.0,52.0,34.0,44.0,0.8627450980392157,6.0,17.0,52.0,35.0,44.0,0.8148148148148148,6.0,14.0,52.0,38.0,45.0,0.7894736842105263,8.0,14.0,54.0,40.0,45.0,0.7894736842105263,8.0,13.0,54.0,41.0,45.0,0.75,9.0,9.0,54.0,45.0,48.0,0.8,8.0,11.0,56.0,45.0,51.0,0.8095238095238095,7.0,13.0,58.0,45.0,52.0,0.7878787878787878,7.0,13.0,60.0,47.0,55.0,0.7971014492753623,7.0,14.0,63.0,49.0
2008/2009,Arminia Bielefeld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,8.0,0.0,2.0,2.0,2.0,0.3333333333333333,10.0,0.0,3.0,3.0,2.0,0.2857142857142857,14.0,-2.0,5.0,7.0,2.0,0.2,17.0,-4.0,5.0,9.0,5.0,0.45454545454545453,12.0,-2.0,7.0,9.0,6.0,0.46153846153846156,13.0,-2.0,8.0,10.0,6.0,0.375,15.0,-3.0,9.0,12.0,6.0,0.35294117647058826,16.0,-6.0,10.0,16.0,7.0,0.3684210526315789,16.0,-6.0,10.0,16.0,8.0,0.36363636363636365,15.0,-6.0,11.0,17.0,8.0,0.32,16.0,-8.0,12.0,20.0,8.0,0.32,17.0,-10.0,12.0,22.0,9.0,0.32142857142857145,17.0,-10.0,12.0,22.0,12.0,0.3870967741935484,14.0,-9.0,14.0,23.0,12.0,0.35294117647058826,14.0,-12.0,14.0,26.0,13.0,0.38235294117647056,14.0,-12.0,14.0,26.0,14.0,0.4,14.0,-12.0,15.0,27.0,17.0,0.4473684210526316,14.0,-11.0,17.0,28.0,18.0,0.46153846153846156,14.0,-11.0,18.0,29.0,18.0,0.45,14.0,-13.0,18.0,31.0,19.0,0.4523809523809524,15.0,-13.0,19.0,32.0,20.0,0.46511627906976744,15.0,-13.0,20.0,33.0,21.0,0.45652173913043476,15.0,-13.0,20.0,33.0,24.0,0.4897959183673469,14.0,-12.0,21.0,33.0,24.0,0.4897959183673469,15.0,-15.0,21.0,36.0,24.0,0.47058823529411764,15.0,-17.0,21.0,38.0,24.0,0.4444444444444444,15.0,-18.0,22.0,40.0,24.0,0.42105263157894735,15.0,-19.0,22.0,41.0,25.0,0.43859649122807015,16.0,-19.0,23.0,42.0,26.0,0.43333333333333335,16.0,-19.0,25.0,44.0,27.0,0.45,16.0,-19.0,27.0,46.0,27.0,0.42857142857142855,16.0,-21.0,27.0,48.0,27.0,0.4090909090909091,16.0,-27.0,27.0,54.0,28.0,0.4057971014492754,18.0,-27.0,29.0,56.0
2008/2009,Bayer Leverkusen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-1.0,2.0,3.0,3.0,0.5,7.0,1.0,4.0,3.0,6.0,0.8571428571428571,4.0,4.0,9.0,5.0,6.0,0.6,7.0,3.0,11.0,8.0,9.0,0.8181818181818182,5.0,7.0,15.0,8.0,12.0,0.9230769230769231,2.0,8.0,18.0,10.0,12.0,0.75,4.0,7.0,18.0,11.0,15.0,0.8823529411764706,3.0,9.0,20.0,11.0,18.0,0.9473684210526315,2.0,11.0,22.0,11.0,21.0,0.9545454545454546,2.0,13.0,24.0,11.0,24.0,0.96,2.0,15.0,26.0,11.0,25.0,1.0,1.0,15.0,29.0,14.0,28.0,1.0,1.0,16.0,31.0,15.0,28.0,0.9032258064516129,2.0,15.0,32.0,17.0,28.0,0.8235294117647058,4.0,13.0,32.0,19.0,31.0,0.9117647058823529,3.0,15.0,35.0,20.0,32.0,0.9142857142857143,5.0,15.0,36.0,21.0,33.0,0.868421052631579,5.0,15.0,37.0,22.0,33.0,0.8461538461538461,5.0,13.0,39.0,26.0,36.0,0.9,5.0,16.0,43.0,27.0,36.0,0.8571428571428571,5.0,15.0,44.0,29.0,36.0,0.8372093023255814,6.0,14.0,44.0,30.0,37.0,0.8043478260869565,7.0,14.0,45.0,31.0,37.0,0.7551020408163265,7.0,13.0,45.0,32.0,38.0,0.7755102040816326,7.0,13.0,46.0,33.0,41.0,0.803921568627451,7.0,15.0,48.0,33.0,42.0,0.7777777777777778,9.0,15.0,49.0,34.0,42.0,0.7368421052631579,9.0,14.0,50.0,36.0,42.0,0.7368421052631579,9.0,13.0,50.0,37.0,45.0,0.75,8.0,14.0,52.0,38.0,46.0,0.7666666666666667,9.0,14.0,54.0,40.0,46.0,0.7301587301587301,9.0,11.0,54.0,43.0,49.0,0.7424242424242424,9.0,16.0,59.0,43.0,49.0,0.7101449275362319,9.0,13.0,59.0,46.0
2008/2009,Bayern München,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,9.0,0.0,2.0,2.0,2.0,0.3333333333333333,11.0,0.0,3.0,3.0,5.0,0.7142857142857143,7.0,3.0,7.0,4.0,8.0,0.8,2.0,6.0,10.0,4.0,8.0,0.7272727272727273,8.0,3.0,12.0,9.0,8.0,0.6153846153846154,9.0,2.0,12.0,10.0,9.0,0.5625,11.0,2.0,15.0,13.0,12.0,0.7058823529411765,11.0,3.0,16.0,13.0,15.0,0.7894736842105263,5.0,5.0,20.0,15.0,18.0,0.8181818181818182,4.0,6.0,22.0,16.0,21.0,0.84,3.0,8.0,25.0,17.0,24.0,0.96,3.0,9.0,27.0,18.0,25.0,0.8928571428571429,3.0,9.0,29.0,20.0,28.0,0.9032258064516129,3.0,12.0,33.0,21.0,31.0,0.9117647058823529,2.0,14.0,35.0,21.0,34.0,1.0,2.0,15.0,37.0,22.0,35.0,1.0,2.0,15.0,39.0,24.0,35.0,0.9210526315789473,4.0,14.0,39.0,25.0,38.0,0.9743589743589743,2.0,16.0,42.0,26.0,38.0,0.95,4.0,15.0,43.0,28.0,38.0,0.9047619047619048,4.0,14.0,44.0,30.0,39.0,0.9069767441860465,5.0,14.0,44.0,30.0,42.0,0.9130434782608695,3.0,18.0,49.0,31.0,45.0,0.9183673469387755,2.0,21.0,52.0,31.0,48.0,0.9795918367346939,2.0,22.0,53.0,31.0,48.0,0.9411764705882353,4.0,18.0,54.0,36.0,51.0,0.9444444444444444,2.0,22.0,58.0,36.0,54.0,0.9473684210526315,2.0,23.0,59.0,36.0,54.0,0.9473684210526315,3.0,22.0,59.0,37.0,57.0,0.95,2.0,23.0,61.0,38.0,60.0,1.0,2.0,25.0,64.0,39.0,63.0,1.0,2.0,28.0,67.0,39.0,64.0,0.9696969696969697,2.0,28.0,69.0,41.0,67.0,0.9710144927536232,2.0,29.0,71.0,42.0
2008/2009,Bor. Mönchengladbach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-2.0,1.0,3.0,0.0,0.0,18.0,-3.0,1.0,4.0,3.0,0.42857142857142855,11.0,-2.0,4.0,6.0,3.0,0.3,16.0,-6.0,5.0,11.0,3.0,0.2727272727272727,17.0,-7.0,5.0,12.0,3.0,0.23076923076923078,18.0,-8.0,5.0,13.0,3.0,0.1875,18.0,-9.0,6.0,15.0,4.0,0.23529411764705882,18.0,-9.0,8.0,17.0,7.0,0.3684210526315789,17.0,-8.0,9.0,17.0,7.0,0.3181818181818182,17.0,-11.0,9.0,20.0,7.0,0.28,17.0,-12.0,10.0,22.0,10.0,0.4,14.0,-10.0,12.0,22.0,11.0,0.39285714285714285,14.0,-10.0,14.0,24.0,11.0,0.3548387096774194,15.0,-12.0,15.0,27.0,11.0,0.3235294117647059,17.0,-14.0,16.0,30.0,11.0,0.3235294117647059,18.0,-16.0,17.0,33.0,11.0,0.3142857142857143,18.0,-17.0,18.0,35.0,11.0,0.2894736842105263,18.0,-19.0,18.0,37.0,12.0,0.3076923076923077,18.0,-19.0,19.0,38.0,13.0,0.325,18.0,-19.0,20.0,39.0,16.0,0.38095238095238093,18.0,-18.0,23.0,41.0,16.0,0.37209302325581395,18.0,-19.0,24.0,43.0,19.0,0.41304347826086957,17.0,-16.0,28.0,44.0,22.0,0.4489795918367347,16.0,-14.0,32.0,46.0,22.0,0.4489795918367347,16.0,-15.0,32.0,47.0,23.0,0.45098039215686275,16.0,-15.0,32.0,47.0,23.0,0.42592592592592593,16.0,-16.0,33.0,49.0,23.0,0.40350877192982454,16.0,-19.0,34.0,53.0,24.0,0.42105263157894735,17.0,-19.0,35.0,54.0,24.0,0.4,17.0,-20.0,36.0,56.0,27.0,0.45,15.0,-19.0,37.0,56.0,30.0,0.47619047619047616,14.0,-18.0,38.0,56.0,30.0,0.45454545454545453,15.0,-23.0,38.0,61.0,31.0,0.4492753623188406,15.0,-23.0,39.0,62.0
2008/2009,Borussia Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,0.6666666666666666,4.0,1.0,4.0,3.0,7.0,1.0,3.0,2.0,5.0,3.0,8.0,0.8,4.0,2.0,8.0,6.0,8.0,0.7272727272727273,10.0,-1.0,9.0,10.0,11.0,0.8461538461538461,5.0,2.0,12.0,10.0,12.0,0.75,6.0,2.0,13.0,11.0,13.0,0.7647058823529411,8.0,2.0,16.0,14.0,14.0,0.7368421052631579,8.0,2.0,17.0,15.0,17.0,0.7727272727272727,7.0,3.0,18.0,15.0,18.0,0.72,6.0,3.0,19.0,16.0,18.0,0.72,9.0,2.0,20.0,18.0,21.0,0.75,6.0,6.0,24.0,18.0,24.0,0.7741935483870968,6.0,7.0,25.0,18.0,25.0,0.7352941176470589,6.0,7.0,25.0,18.0,26.0,0.7647058823529411,8.0,7.0,25.0,18.0,29.0,0.8285714285714286,6.0,8.0,27.0,19.0,30.0,0.7894736842105263,6.0,8.0,28.0,20.0,30.0,0.7692307692307693,9.0,6.0,29.0,23.0,31.0,0.775,8.0,6.0,30.0,24.0,32.0,0.7619047619047619,8.0,6.0,31.0,25.0,33.0,0.7674418604651163,9.0,6.0,31.0,25.0,33.0,0.717391304347826,9.0,5.0,32.0,27.0,34.0,0.6938775510204082,9.0,5.0,36.0,31.0,37.0,0.7551020408163265,9.0,6.0,37.0,31.0,40.0,0.7843137254901961,9.0,8.0,40.0,32.0,43.0,0.7962962962962963,8.0,10.0,43.0,33.0,46.0,0.8070175438596491,7.0,12.0,45.0,33.0,49.0,0.8596491228070176,7.0,14.0,47.0,33.0,52.0,0.8666666666666667,6.0,16.0,49.0,33.0,55.0,0.9166666666666666,5.0,20.0,53.0,33.0,55.0,0.873015873015873,6.0,17.0,53.0,36.0,58.0,0.8787878787878788,5.0,23.0,59.0,36.0,59.0,0.855072463768116,6.0,23.0,60.0,37.0
