Stage,,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,30,30,30,30,30,30,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,34
,,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals
Season,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/2009,ADO Den Haag,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,5.0,2.0,6.0,1.0,1.0,6.0,8.0,2.0,6.0,0.8571428571428571,3.0,4.0,8.0,4.0,7.0,0.7,5.0,4.0,8.0,4.0,7.0,0.5384615384615384,9.0,1.0,8.0,7.0,10.0,0.6666666666666666,8.0,3.0,10.0,7.0,10.0,0.625,11.0,1.0,11.0,10.0,10.0,0.5555555555555556,12.0,-1.0,11.0,12.0,10.0,0.5263157894736842,12.0,-3.0,12.0,15.0,10.0,0.45454545454545453,13.0,-4.0,12.0,16.0,10.0,0.4,14.0,-5.0,12.0,17.0,10.0,0.38461538461538464,14.0,-7.0,13.0,20.0,10.0,0.3448275862068966,15.0,-8.0,14.0,22.0,13.0,0.40625,14.0,-4.0,18.0,22.0,14.0,0.4,14.0,-4.0,19.0,23.0,15.0,0.39473684210526316,14.0,-4.0,19.0,23.0,15.0,0.36585365853658536,14.0,-7.0,19.0,26.0,16.0,0.36363636363636365,14.0,-7.0,21.0,28.0,19.0,0.40425531914893614,14.0,-6.0,22.0,28.0,19.0,0.38,14.0,-7.0,22.0,29.0,19.0,0.3584905660377358,15.0,-13.0,22.0,35.0,19.0,0.3392857142857143,15.0,-15.0,23.0,38.0,22.0,0.38596491228070173,15.0,-14.0,24.0,38.0,23.0,0.38333333333333336,14.0,-14.0,25.0,39.0,23.0,0.36507936507936506,15.0,-15.0,25.0,40.0,24.0,0.36363636363636365,14.0,-15.0,26.0,41.0,27.0,0.391304347826087,13.0,-12.0,29.0,41.0,27.0,0.38571428571428573,13.0,-14.0,29.0,43.0,27.0,0.3698630136986301,14.0,-17.0,30.0,47.0,27.0,0.35526315789473684,15.0,-18.0,31.0,49.0,28.0,0.3684210526315789,15.0,-18.0,34.0,52.0,28.0,0.36363636363636365,15.0,-19.0,36.0,55.0,29.0,0.37662337662337664,15.0,-19.0,38.0,57.0,32.0,0.4,14.0,-17.0,41.0,58.0
2008/2009,Ajax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-1.0,1.0,2.0,3.0,0.5,9.0,0.0,2.0,2.0,4.0,0.5714285714285714,12.0,0.0,4.0,4.0,7.0,0.7,6.0,3.0,7.0,4.0,7.0,0.5384615384615384,10.0,0.0,9.0,9.0,10.0,0.6666666666666666,9.0,1.0,10.0,9.0,13.0,0.8125,5.0,3.0,12.0,9.0,16.0,0.8888888888888888,5.0,5.0,15.0,10.0,19.0,1.0,2.0,7.0,17.0,10.0,22.0,1.0,2.0,10.0,22.0,12.0,25.0,1.0,1.0,13.0,26.0,13.0,25.0,0.9615384615384616,3.0,11.0,26.0,15.0,26.0,0.896551724137931,2.0,11.0,27.0,16.0,29.0,0.90625,2.0,12.0,29.0,17.0,32.0,0.9142857142857143,2.0,15.0,32.0,17.0,35.0,0.9210526315789473,2.0,21.0,38.0,17.0,38.0,0.926829268292683,2.0,24.0,41.0,17.0,41.0,0.9318181818181818,2.0,26.0,45.0,19.0,41.0,0.8723404255319149,2.0,25.0,45.0,20.0,41.0,0.82,2.0,24.0,45.0,21.0,42.0,0.7924528301886793,3.0,24.0,47.0,23.0,42.0,0.75,3.0,21.0,48.0,27.0,45.0,0.7894736842105263,3.0,23.0,50.0,27.0,48.0,0.8,3.0,24.0,52.0,28.0,51.0,0.8095238095238095,3.0,26.0,54.0,28.0,52.0,0.7878787878787878,3.0,26.0,55.0,29.0,55.0,0.7971014492753623,3.0,29.0,58.0,29.0,58.0,0.8285714285714286,3.0,32.0,61.0,29.0,61.0,0.8356164383561644,3.0,33.0,63.0,30.0,64.0,0.8421052631578947,3.0,40.0,70.0,30.0,64.0,0.8421052631578947,3.0,36.0,72.0,36.0,65.0,0.8441558441558441,3.0,36.0,73.0,37.0,65.0,0.8441558441558441,3.0,32.0,73.0,41.0,68.0,0.85,3.0,33.0,74.0,41.0
2008/2009,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-1.0,1.0,2.0,0.0,0.0,15.0,-4.0,1.0,5.0,3.0,0.42857142857142855,13.0,-3.0,2.0,5.0,6.0,0.6,9.0,0.0,7.0,7.0,9.0,0.6923076923076923,5.0,6.0,13.0,7.0,12.0,0.8,3.0,8.0,15.0,7.0,15.0,0.9375,3.0,11.0,18.0,7.0,18.0,1.0,1.0,13.0,20.0,7.0,19.0,1.0,1.0,13.0,23.0,10.0,22.0,1.0,1.0,16.0,26.0,10.0,23.0,0.92,4.0,16.0,27.0,11.0,26.0,1.0,1.0,18.0,29.0,11.0,29.0,1.0,1.0,20.0,31.0,11.0,32.0,1.0,1.0,22.0,33.0,11.0,35.0,1.0,1.0,23.0,34.0,11.0,38.0,1.0,1.0,25.0,36.0,11.0,41.0,1.0,1.0,26.0,37.0,11.0,44.0,1.0,1.0,28.0,39.0,11.0,47.0,1.0,1.0,30.0,41.0,11.0,50.0,1.0,1.0,32.0,43.0,11.0,53.0,1.0,1.0,33.0,44.0,11.0,56.0,1.0,1.0,35.0,47.0,12.0,57.0,1.0,1.0,35.0,49.0,14.0,60.0,1.0,1.0,37.0,51.0,14.0,63.0,1.0,1.0,40.0,54.0,14.0,66.0,1.0,1.0,41.0,55.0,14.0,69.0,1.0,1.0,42.0,56.0,14.0,70.0,1.0,1.0,42.0,56.0,14.0,73.0,1.0,1.0,45.0,60.0,15.0,76.0,1.0,1.0,46.0,61.0,15.0,76.0,1.0,1.0,45.0,62.0,17.0,77.0,1.0,1.0,45.0,63.0,18.0,77.0,1.0,1.0,42.0,63.0,21.0,80.0,1.0,1.0,44.0,66.0,22.0
2008/2009,De Graafschap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-2.0,0.0,2.0,3.0,0.5,11.0,-1.0,1.0,2.0,6.0,0.8571428571428571,7.0,1.0,3.0,2.0,6.0,0.6,11.0,-2.0,3.0,5.0,6.0,0.46153846153846156,13.0,-5.0,3.0,8.0,6.0,0.4,13.0,-7.0,3.0,10.0,7.0,0.4375,13.0,-7.0,4.0,11.0,7.0,0.3888888888888889,14.0,-9.0,4.0,13.0,7.0,0.3684210526315789,16.0,-11.0,5.0,16.0,7.0,0.3181818181818182,16.0,-13.0,5.0,18.0,7.0,0.28,17.0,-16.0,5.0,21.0,8.0,0.3076923076923077,17.0,-16.0,8.0,24.0,9.0,0.3103448275862069,17.0,-16.0,9.0,25.0,12.0,0.375,16.0,-14.0,12.0,26.0,12.0,0.34285714285714286,17.0,-16.0,12.0,28.0,12.0,0.3157894736842105,17.0,-22.0,12.0,34.0,13.0,0.3170731707317073,17.0,-22.0,12.0,34.0,16.0,0.36363636363636365,15.0,-21.0,13.0,34.0,16.0,0.3404255319148936,16.0,-23.0,13.0,36.0,16.0,0.32,17.0,-26.0,13.0,39.0,16.0,0.3018867924528302,17.0,-29.0,13.0,42.0,17.0,0.30357142857142855,17.0,-29.0,15.0,44.0,17.0,0.2982456140350877,17.0,-30.0,15.0,45.0,17.0,0.2833333333333333,17.0,-32.0,15.0,47.0,17.0,0.2698412698412698,17.0,-34.0,16.0,50.0,20.0,0.30303030303030304,17.0,-33.0,17.0,50.0,20.0,0.2898550724637681,18.0,-36.0,17.0,53.0,23.0,0.32857142857142857,17.0,-34.0,19.0,53.0,24.0,0.3287671232876712,18.0,-34.0,19.0,53.0,25.0,0.32894736842105265,17.0,-34.0,21.0,55.0,25.0,0.32894736842105265,18.0,-35.0,21.0,56.0,26.0,0.33766233766233766,18.0,-35.0,21.0,56.0,29.0,0.37662337662337664,16.0,-34.0,22.0,56.0,30.0,0.375,17.0,-34.0,24.0,58.0
2008/2009,FC Groningen,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,4.0,0.0,6.0,1.0,2.0,6.0,6.0,0.0,7.0,1.0,1.0,6.0,7.0,1.0,10.0,1.0,1.0,8.0,10.0,2.0,13.0,1.0,1.0,11.0,13.0,2.0,13.0,0.8666666666666667,2.0,10.0,13.0,3.0,16.0,1.0,1.0,13.0,16.0,3.0,17.0,0.9444444444444444,2.0,13.0,18.0,5.0,17.0,0.8947368421052632,5.0,12.0,18.0,6.0,20.0,0.9090909090909091,4.0,17.0,23.0,6.0,23.0,0.92,3.0,20.0,26.0,6.0,23.0,0.8846153846153846,4.0,17.0,26.0,9.0,23.0,0.7931034482758621,5.0,15.0,26.0,11.0,23.0,0.71875,6.0,13.0,28.0,15.0,23.0,0.6571428571428571,8.0,10.0,29.0,19.0,26.0,0.6842105263157895,6.0,13.0,34.0,21.0,26.0,0.6341463414634146,7.0,12.0,36.0,24.0,27.0,0.6136363636363636,7.0,12.0,37.0,25.0,30.0,0.6382978723404256,7.0,13.0,38.0,25.0,33.0,0.66,6.0,14.0,39.0,25.0,36.0,0.6792452830188679,6.0,16.0,41.0,25.0,37.0,0.6607142857142857,6.0,16.0,41.0,25.0,40.0,0.7017543859649122,6.0,18.0,43.0,25.0,40.0,0.6666666666666666,6.0,17.0,43.0,26.0,40.0,0.6349206349206349,6.0,14.0,43.0,29.0,40.0,0.6060606060606061,6.0,13.0,44.0,31.0,43.0,0.6231884057971014,6.0,15.0,46.0,31.0,43.0,0.6142857142857143,6.0,14.0,47.0,33.0,46.0,0.6301369863013698,6.0,15.0,48.0,33.0,46.0,0.6052631578947368,6.0,14.0,50.0,36.0,49.0,0.6447368421052632,6.0,15.0,51.0,36.0,50.0,0.6493506493506493,6.0,15.0,51.0,36.0,53.0,0.6883116883116883,6.0,16.0,52.0,36.0,56.0,0.7,6.0,17.0,53.0,36.0
2008/2009,FC Twente,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,9.0,0.0,1.0,1.0,2.0,0.3333333333333333,12.0,0.0,2.0,2.0,5.0,0.7142857142857143,9.0,1.0,4.0,3.0,8.0,0.8,4.0,4.0,7.0,3.0,8.0,0.6153846153846154,8.0,1.0,7.0,6.0,11.0,0.7333333333333333,7.0,3.0,9.0,6.0,14.0,0.875,4.0,5.0,11.0,6.0,17.0,0.9444444444444444,3.0,6.0,12.0,6.0,17.0,0.8947368421052632,6.0,4.0,12.0,8.0,17.0,0.7727272727272727,7.0,1.0,12.0,11.0,18.0,0.72,8.0,1.0,13.0,12.0,21.0,0.8076923076923077,6.0,7.0,19.0,12.0,24.0,0.8275862068965517,4.0,8.0,21.0,13.0,27.0,0.84375,3.0,12.0,27.0,15.0,30.0,0.8571428571428571,3.0,15.0,31.0,16.0,33.0,0.868421052631579,3.0,17.0,33.0,16.0,34.0,0.8292682926829268,3.0,17.0,33.0,16.0,37.0,0.8409090909090909,3.0,18.0,35.0,17.0,40.0,0.851063829787234,3.0,19.0,37.0,18.0,41.0,0.82,3.0,19.0,37.0,18.0,44.0,0.8301886792452831,2.0,22.0,41.0,19.0,45.0,0.8035714285714286,2.0,22.0,43.0,21.0,48.0,0.8421052631578947,2.0,23.0,45.0,22.0,51.0,0.85,2.0,24.0,47.0,23.0,54.0,0.8571428571428571,2.0,25.0,48.0,23.0,55.0,0.8333333333333334,2.0,25.0,49.0,24.0,58.0,0.8405797101449275,2.0,27.0,51.0,24.0,61.0,0.8714285714285714,2.0,28.0,53.0,25.0,62.0,0.8493150684931506,2.0,28.0,54.0,26.0,65.0,0.8552631578947368,2.0,30.0,58.0,28.0,65.0,0.8552631578947368,2.0,29.0,58.0,29.0,66.0,0.8571428571428571,2.0,29.0,59.0,30.0,69.0,0.8961038961038961,2.0,32.0,62.0,30.0,69.0,0.8625,2.0,31.0,62.0,31.0
2008/2009,FC Utrecht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-4.0,1.0,5.0,0.0,0.0,18.0,-6.0,1.0,7.0,3.0,0.42857142857142855,14.0,-5.0,2.0,7.0,4.0,0.4,14.0,-5.0,2.0,7.0,7.0,0.5384615384615384,12.0,-2.0,5.0,7.0,7.0,0.4666666666666667,12.0,-3.0,5.0,8.0,8.0,0.5,12.0,-3.0,5.0,8.0,11.0,0.6111111111111112,11.0,-1.0,7.0,8.0,14.0,0.7368421052631579,8.0,1.0,9.0,8.0,14.0,0.6363636363636364,10.0,-2.0,11.0,13.0,14.0,0.56,10.0,-3.0,13.0,16.0,17.0,0.6538461538461539,10.0,1.0,17.0,16.0,18.0,0.6206896551724138,10.0,1.0,18.0,17.0,21.0,0.65625,9.0,2.0,20.0,18.0,22.0,0.6285714285714286,9.0,2.0,20.0,18.0,22.0,0.5789473684210527,9.0,0.0,20.0,20.0,25.0,0.6097560975609756,9.0,2.0,23.0,21.0,26.0,0.5909090909090909,9.0,2.0,24.0,22.0,27.0,0.574468085106383,9.0,2.0,27.0,25.0,28.0,0.56,9.0,2.0,27.0,25.0,31.0,0.5849056603773585,8.0,5.0,30.0,25.0,34.0,0.6071428571428571,7.0,7.0,33.0,26.0,37.0,0.6491228070175439,7.0,9.0,35.0,26.0,37.0,0.6166666666666667,7.0,7.0,35.0,28.0,37.0,0.5873015873015873,8.0,5.0,35.0,30.0,38.0,0.5757575757575758,8.0,5.0,35.0,30.0,38.0,0.5507246376811594,8.0,4.0,35.0,31.0,39.0,0.5571428571428572,8.0,4.0,35.0,31.0,39.0,0.5342465753424658,8.0,3.0,35.0,32.0,39.0,0.5131578947368421,9.0,1.0,35.0,34.0,42.0,0.5526315789473685,7.0,2.0,37.0,35.0,42.0,0.5454545454545454,9.0,-3.0,38.0,41.0,43.0,0.5584415584415584,9.0,-3.0,40.0,43.0,44.0,0.55,9.0,-3.0,41.0,44.0
