Stage,,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,30,30,30,30,30,30
,,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals
Season,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/2009,Arka Gdynia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,6.0,0.0,1.0,1.0,4.0,0.6666666666666666,5.0,1.0,2.0,1.0,7.0,0.7777777777777778,2.0,2.0,4.0,2.0,10.0,1.0,2.0,3.0,6.0,3.0,10.0,1.0,4.0,1.0,6.0,5.0,13.0,1.0,3.0,5.0,10.0,5.0,13.0,0.8125,5.0,1.0,10.0,9.0,13.0,0.7647058823529411,7.0,0.0,10.0,10.0,13.0,0.65,9.0,-1.0,11.0,12.0,13.0,0.6190476190476191,10.0,-3.0,12.0,15.0,13.0,0.5416666666666666,11.0,-4.0,12.0,16.0,14.0,0.56,10.0,-4.0,12.0,16.0,15.0,0.5357142857142857,11.0,-4.0,12.0,16.0,18.0,0.6,10.0,-2.0,14.0,16.0,19.0,0.6129032258064516,7.0,-2.0,14.0,16.0,20.0,0.6060606060606061,9.0,-2.0,14.0,16.0,23.0,0.6388888888888888,7.0,-1.0,16.0,17.0,23.0,0.5897435897435898,7.0,-4.0,16.0,20.0,24.0,0.5714285714285714,7.0,-4.0,18.0,22.0,24.0,0.5581395348837209,10.0,-5.0,18.0,23.0,25.0,0.5681818181818182,8.0,-5.0,18.0,23.0,25.0,0.5555555555555556,9.0,-6.0,18.0,24.0,25.0,0.5208333333333334,12.0,-9.0,18.0,27.0,25.0,0.5,12.0,-10.0,18.0,28.0,25.0,0.49019607843137253,14.0,-11.0,19.0,30.0,26.0,0.48148148148148145,13.0,-11.0,22.0,33.0,26.0,0.4727272727272727,14.0,-12.0,23.0,35.0,26.0,0.4482758620689655,16.0,-13.0,24.0,37.0,27.0,0.4426229508196721,16.0,-13.0,25.0,38.0,30.0,0.46875,14.0,-12.0,27.0,39.0
2008/2009,Cracovia Kraków,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-2.0,0.0,2.0,3.0,0.5,8.0,0.0,2.0,2.0,3.0,0.3333333333333333,12.0,-2.0,2.0,4.0,4.0,0.4,14.0,-2.0,3.0,5.0,4.0,0.4,14.0,-4.0,3.0,7.0,4.0,0.3076923076923077,15.0,-7.0,3.0,10.0,5.0,0.3125,14.0,-7.0,4.0,11.0,5.0,0.29411764705882354,15.0,-8.0,4.0,12.0,6.0,0.3,15.0,-8.0,5.0,13.0,7.0,0.3333333333333333,16.0,-8.0,5.0,13.0,7.0,0.2916666666666667,16.0,-10.0,5.0,15.0,7.0,0.28,16.0,-13.0,5.0,18.0,8.0,0.2857142857142857,16.0,-13.0,5.0,18.0,11.0,0.36666666666666664,14.0,-11.0,7.0,18.0,11.0,0.3548387096774194,15.0,-12.0,7.0,19.0,14.0,0.42424242424242425,14.0,-10.0,9.0,19.0,14.0,0.3888888888888889,15.0,-11.0,10.0,21.0,17.0,0.4358974358974359,14.0,-10.0,11.0,21.0,17.0,0.40476190476190477,14.0,-11.0,14.0,25.0,20.0,0.46511627906976744,14.0,-9.0,17.0,26.0,20.0,0.45454545454545453,15.0,-12.0,18.0,30.0,21.0,0.4666666666666667,15.0,-12.0,18.0,30.0,21.0,0.4375,15.0,-16.0,18.0,34.0,22.0,0.44,16.0,-16.0,19.0,35.0,22.0,0.43137254901960786,16.0,-17.0,19.0,36.0,25.0,0.46296296296296297,16.0,-16.0,20.0,36.0,25.0,0.45454545454545453,16.0,-17.0,21.0,38.0,28.0,0.4827586206896552,15.0,-16.0,22.0,38.0,29.0,0.47540983606557374,15.0,-16.0,22.0,38.0,30.0,0.46875,15.0,-16.0,24.0,40.0
2008/2009,GKS Be?chatów,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,0.6666666666666666,4.0,1.0,3.0,2.0,4.0,0.4444444444444444,8.0,0.0,4.0,4.0,4.0,0.4,13.0,-2.0,4.0,6.0,4.0,0.4,13.0,-3.0,5.0,8.0,7.0,0.5384615384615384,10.0,-2.0,6.0,8.0,10.0,0.625,9.0,0.0,8.0,8.0,13.0,0.7647058823529411,6.0,1.0,9.0,8.0,16.0,0.8,6.0,2.0,11.0,9.0,16.0,0.7619047619047619,6.0,1.0,12.0,11.0,19.0,0.7916666666666666,5.0,2.0,15.0,13.0,22.0,0.88,5.0,5.0,18.0,13.0,25.0,0.8928571428571429,3.0,6.0,19.0,13.0,25.0,0.8333333333333334,5.0,4.0,19.0,15.0,28.0,0.9032258064516129,5.0,6.0,21.0,15.0,31.0,0.9393939393939394,4.0,7.0,22.0,15.0,31.0,0.8611111111111112,5.0,4.0,22.0,18.0,31.0,0.7948717948717948,6.0,3.0,24.0,21.0,31.0,0.7380952380952381,6.0,2.0,24.0,22.0,32.0,0.7441860465116279,6.0,2.0,24.0,22.0,35.0,0.7954545454545454,6.0,4.0,26.0,22.0,38.0,0.8444444444444444,5.0,5.0,28.0,23.0,41.0,0.8541666666666666,5.0,6.0,30.0,24.0,44.0,0.88,5.0,9.0,33.0,24.0,47.0,0.9215686274509803,5.0,10.0,34.0,24.0,50.0,0.9259259259259259,4.0,12.0,37.0,25.0,50.0,0.9090909090909091,5.0,11.0,37.0,26.0,50.0,0.8620689655172413,5.0,10.0,37.0,27.0,51.0,0.8360655737704918,5.0,10.0,38.0,28.0,54.0,0.84375,5.0,12.0,40.0,28.0
2008/2009,Górnik Zabrze,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,10.0,0.0,0.0,0.0,1.0,0.16666666666666666,12.0,-1.0,0.0,1.0,1.0,0.1111111111111111,15.0,-4.0,0.0,4.0,1.0,0.1,16.0,-7.0,0.0,7.0,4.0,0.4,16.0,-6.0,1.0,7.0,4.0,0.3076923076923077,16.0,-7.0,2.0,9.0,4.0,0.25,16.0,-9.0,2.0,11.0,5.0,0.29411764705882354,16.0,-9.0,3.0,12.0,5.0,0.25,16.0,-10.0,3.0,13.0,8.0,0.38095238095238093,14.0,-8.0,5.0,13.0,8.0,0.3333333333333333,15.0,-9.0,7.0,16.0,9.0,0.36,15.0,-9.0,7.0,16.0,9.0,0.32142857142857145,15.0,-10.0,7.0,17.0,9.0,0.3,16.0,-12.0,7.0,19.0,9.0,0.2903225806451613,16.0,-14.0,7.0,21.0,9.0,0.2727272727272727,16.0,-15.0,7.0,22.0,12.0,0.3333333333333333,16.0,-14.0,8.0,22.0,15.0,0.38461538461538464,16.0,-13.0,9.0,22.0,16.0,0.38095238095238093,16.0,-13.0,11.0,24.0,17.0,0.3953488372093023,16.0,-13.0,12.0,25.0,18.0,0.4090909090909091,16.0,-13.0,12.0,25.0,18.0,0.4,16.0,-14.0,12.0,26.0,19.0,0.3958333333333333,16.0,-14.0,13.0,27.0,22.0,0.44,15.0,-12.0,15.0,27.0,22.0,0.43137254901960786,15.0,-14.0,16.0,30.0,25.0,0.46296296296296297,15.0,-12.0,18.0,30.0,25.0,0.45454545454545453,15.0,-14.0,18.0,32.0,28.0,0.4827586206896552,14.0,-12.0,20.0,32.0,29.0,0.47540983606557374,13.0,-12.0,20.0,32.0,29.0,0.453125,16.0,-13.0,20.0,33.0
2008/2009,Jagiellonia Bia?ystok,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,7.0,0.0,1.0,1.0,1.0,0.16666666666666666,16.0,-3.0,1.0,4.0,1.0,0.1111111111111111,16.0,-5.0,1.0,6.0,4.0,0.4,15.0,-3.0,3.0,6.0,4.0,0.4,15.0,-4.0,3.0,7.0,4.0,0.3076923076923077,14.0,-6.0,3.0,9.0,5.0,0.3125,13.0,-6.0,3.0,9.0,6.0,0.35294117647058826,14.0,-6.0,5.0,11.0,7.0,0.35,13.0,-6.0,6.0,12.0,10.0,0.47619047619047616,12.0,-4.0,8.0,12.0,13.0,0.5416666666666666,9.0,-2.0,10.0,12.0,14.0,0.56,9.0,-2.0,10.0,12.0,17.0,0.6071428571428571,7.0,-1.0,11.0,12.0,18.0,0.6,8.0,-1.0,13.0,14.0,18.0,0.5806451612903226,10.0,-3.0,13.0,16.0,18.0,0.5454545454545454,10.0,-5.0,13.0,18.0,18.0,0.5,10.0,-6.0,13.0,19.0,21.0,0.5384615384615384,10.0,-3.0,16.0,19.0,21.0,0.5,12.0,-4.0,16.0,20.0,24.0,0.5581395348837209,9.0,-3.0,18.0,21.0,25.0,0.5681818181818182,7.0,-3.0,19.0,22.0,28.0,0.6222222222222222,7.0,1.0,23.0,22.0,28.0,0.5833333333333334,7.0,0.0,23.0,23.0,31.0,0.62,7.0,1.0,24.0,23.0,31.0,0.6078431372549019,7.0,-1.0,24.0,25.0,31.0,0.5740740740740741,7.0,-2.0,25.0,27.0,31.0,0.5636363636363636,10.0,-4.0,26.0,30.0,34.0,0.5862068965517241,7.0,-3.0,28.0,31.0,34.0,0.5573770491803278,8.0,-4.0,28.0,32.0,34.0,0.53125,9.0,-6.0,28.0,34.0
2008/2009,Lech Pozna?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-1.0,2.0,3.0,3.0,0.5,7.0,2.0,5.0,3.0,6.0,0.6666666666666666,4.0,5.0,8.0,3.0,6.0,0.6,7.0,4.0,9.0,5.0,9.0,0.9,6.0,7.0,13.0,6.0,12.0,0.9230769230769231,5.0,8.0,14.0,6.0,15.0,0.9375,3.0,11.0,17.0,6.0,16.0,0.9411764705882353,4.0,11.0,17.0,6.0,16.0,0.8,4.0,9.0,17.0,8.0,17.0,0.8095238095238095,4.0,9.0,18.0,9.0,20.0,0.8333333333333334,4.0,11.0,21.0,10.0,23.0,0.92,4.0,14.0,24.0,10.0,24.0,0.8571428571428571,4.0,14.0,25.0,11.0,27.0,0.9,3.0,16.0,27.0,11.0,30.0,0.967741935483871,2.0,17.0,28.0,11.0,33.0,1.0,1.0,18.0,29.0,11.0,36.0,1.0,1.0,21.0,32.0,11.0,39.0,1.0,1.0,22.0,35.0,13.0,42.0,1.0,1.0,23.0,36.0,13.0,43.0,1.0,1.0,23.0,37.0,14.0,44.0,1.0,1.0,23.0,37.0,14.0,45.0,1.0,1.0,23.0,38.0,15.0,48.0,1.0,1.0,24.0,40.0,16.0,49.0,0.98,2.0,24.0,41.0,17.0,50.0,0.9803921568627451,3.0,24.0,42.0,18.0,51.0,0.9444444444444444,3.0,24.0,43.0,19.0,54.0,0.9818181818181818,3.0,26.0,45.0,19.0,57.0,0.9827586206896551,3.0,27.0,46.0,19.0,58.0,0.9508196721311475,3.0,27.0,49.0,22.0,59.0,0.921875,3.0,27.0,51.0,24.0
2008/2009,Lechia Gda?sk,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,8.0,0.0,1.0,1.0,1.0,0.16666666666666666,10.0,-1.0,2.0,3.0,4.0,0.4444444444444444,6.0,1.0,4.0,3.0,4.0,0.4,12.0,-2.0,5.0,7.0,7.0,0.7,8.0,0.0,8.0,8.0,7.0,0.5384615384615384,9.0,-1.0,8.0,9.0,8.0,0.5,10.0,-1.0,8.0,9.0,11.0,0.6470588235294118,8.0,0.0,9.0,9.0,14.0,0.7,7.0,1.0,10.0,9.0,14.0,0.6666666666666666,8.0,-1.0,10.0,11.0,14.0,0.5833333333333334,8.0,-4.0,10.0,14.0,14.0,0.56,12.0,-7.0,10.0,17.0,17.0,0.6071428571428571,9.0,-6.0,12.0,18.0,17.0,0.5666666666666667,11.0,-9.0,12.0,21.0,18.0,0.5806451612903226,11.0,-9.0,12.0,21.0,18.0,0.5454545454545454,11.0,-10.0,14.0,24.0,18.0,0.5,11.0,-11.0,15.0,26.0,19.0,0.48717948717948717,11.0,-11.0,16.0,27.0,22.0,0.5238095238095238,10.0,-9.0,18.0,27.0,22.0,0.5116279069767442,12.0,-11.0,19.0,30.0,22.0,0.5,13.0,-12.0,19.0,31.0,22.0,0.4888888888888889,14.0,-13.0,19.0,32.0,22.0,0.4583333333333333,14.0,-14.0,20.0,34.0,23.0,0.46,14.0,-14.0,21.0,35.0,26.0,0.5098039215686274,12.0,-13.0,23.0,36.0,26.0,0.48148148148148145,14.0,-15.0,23.0,38.0,29.0,0.5272727272727272,12.0,-13.0,26.0,39.0,29.0,0.5,13.0,-14.0,26.0,40.0,29.0,0.47540983606557374,14.0,-16.0,28.0,44.0,32.0,0.5,12.0,-14.0,30.0,44.0
