Stage,,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,30,30,30,30,30,30,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,34,35,35,35,35,35,35,36,36,36,36,36,36,37,37,37,37,37,37,38,38,38,38,38,38
,,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals
Season,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/2009,Athletic Club de Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-2.0,1.0,3.0,1.0,0.16666666666666666,17.0,-2.0,1.0,3.0,4.0,0.5714285714285714,10.0,0.0,3.0,3.0,5.0,0.5,10.0,0.0,4.0,4.0,5.0,0.38461538461538464,12.0,-1.0,4.0,5.0,5.0,0.3125,15.0,-5.0,4.0,9.0,5.0,0.2631578947368421,17.0,-6.0,4.0,10.0,5.0,0.25,19.0,-7.0,6.0,13.0,5.0,0.22727272727272727,19.0,-10.0,7.0,17.0,6.0,0.24,19.0,-10.0,10.0,20.0,9.0,0.32142857142857145,18.0,-8.0,12.0,20.0,9.0,0.3103448275862069,18.0,-10.0,13.0,23.0,12.0,0.375,16.0,-8.0,15.0,23.0,13.0,0.37142857142857144,16.0,-8.0,16.0,24.0,16.0,0.42105263157894735,14.0,-5.0,19.0,24.0,19.0,0.4634146341463415,12.0,-4.0,20.0,24.0,20.0,0.45454545454545453,13.0,-4.0,21.0,25.0,23.0,0.48936170212765956,11.0,-3.0,24.0,27.0,26.0,0.52,9.0,-2.0,27.0,29.0,26.0,0.49056603773584906,10.0,-3.0,28.0,31.0,29.0,0.5178571428571429,9.0,-2.0,31.0,33.0,29.0,0.4915254237288136,10.0,-3.0,32.0,35.0,30.0,0.5,10.0,-3.0,33.0,36.0,31.0,0.5166666666666667,9.0,-3.0,34.0,37.0,31.0,0.5166666666666667,10.0,-4.0,35.0,39.0,31.0,0.49206349206349204,10.0,-6.0,35.0,41.0,31.0,0.4696969696969697,12.0,-9.0,37.0,46.0,31.0,0.4492753623188406,14.0,-11.0,37.0,48.0,34.0,0.4722222222222222,11.0,-10.0,39.0,49.0,34.0,0.4533333333333333,15.0,-11.0,40.0,51.0,34.0,0.4358974358974359,16.0,-12.0,40.0,52.0,37.0,0.4567901234567901,13.0,-11.0,42.0,53.0,40.0,0.4878048780487805,11.0,-10.0,44.0,54.0,41.0,0.4823529411764706,11.0,-10.0,45.0,55.0,44.0,0.5116279069767442,11.0,-9.0,46.0,55.0,44.0,0.5116279069767442,11.0,-10.0,46.0,56.0,44.0,0.5116279069767442,13.0,-13.0,47.0,60.0,44.0,0.5057471264367817,13.0,-15.0,47.0,62.0
2008/2009,Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,4.0,0.0,3.0,0.5,7.0,3.0,5.0,2.0,6.0,0.8571428571428571,5.0,7.0,9.0,2.0,9.0,0.9,4.0,8.0,11.0,3.0,9.0,0.6923076923076923,7.0,7.0,11.0,4.0,9.0,0.5625,7.0,2.0,12.0,10.0,9.0,0.47368421052631576,8.0,1.0,13.0,12.0,10.0,0.5,10.0,1.0,17.0,16.0,13.0,0.5909090909090909,6.0,3.0,19.0,16.0,14.0,0.56,7.0,3.0,19.0,16.0,17.0,0.6071428571428571,6.0,6.0,23.0,17.0,18.0,0.6206896551724138,6.0,6.0,24.0,18.0,21.0,0.65625,6.0,9.0,28.0,19.0,24.0,0.6857142857142857,6.0,12.0,33.0,21.0,27.0,0.7105263157894737,5.0,14.0,35.0,21.0,30.0,0.7317073170731707,3.0,15.0,38.0,23.0,30.0,0.6818181818181818,5.0,13.0,39.0,26.0,30.0,0.6382978723404256,5.0,12.0,41.0,29.0,31.0,0.62,6.0,12.0,42.0,30.0,32.0,0.6037735849056604,6.0,12.0,43.0,31.0,32.0,0.5714285714285714,7.0,11.0,44.0,33.0,35.0,0.5932203389830508,6.0,14.0,47.0,33.0,36.0,0.6,6.0,14.0,48.0,34.0,36.0,0.6,7.0,13.0,48.0,35.0,39.0,0.65,5.0,14.0,52.0,38.0,40.0,0.6349206349206349,7.0,14.0,53.0,39.0,43.0,0.6515151515151515,5.0,15.0,56.0,41.0,43.0,0.6231884057971014,5.0,13.0,56.0,43.0,43.0,0.5972222222222222,6.0,11.0,58.0,47.0,46.0,0.6133333333333333,6.0,12.0,60.0,48.0,49.0,0.6282051282051282,5.0,15.0,63.0,48.0,49.0,0.6049382716049383,7.0,11.0,64.0,53.0,52.0,0.6341463414634146,6.0,13.0,67.0,54.0,55.0,0.6470588235294118,5.0,15.0,69.0,54.0,58.0,0.6744186046511628,5.0,16.0,72.0,56.0,61.0,0.7093023255813954,4.0,17.0,73.0,56.0,64.0,0.7441860465116279,4.0,20.0,77.0,57.0,67.0,0.7701149425287356,4.0,23.0,80.0,57.0
2008/2009,CA Osasuna,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,9.0,0.0,1.0,1.0,2.0,0.3333333333333333,13.0,0.0,2.0,2.0,2.0,0.2857142857142857,15.0,-1.0,2.0,3.0,3.0,0.3,15.0,-1.0,2.0,3.0,4.0,0.3076923076923077,14.0,-1.0,2.0,3.0,4.0,0.25,16.0,-2.0,2.0,4.0,4.0,0.21052631578947367,19.0,-3.0,3.0,6.0,4.0,0.2,20.0,-5.0,3.0,8.0,4.0,0.18181818181818182,20.0,-6.0,3.0,9.0,5.0,0.2,20.0,-6.0,3.0,9.0,5.0,0.17857142857142858,20.0,-8.0,3.0,11.0,8.0,0.27586206896551724,19.0,-6.0,6.0,12.0,8.0,0.25,19.0,-8.0,8.0,16.0,9.0,0.2571428571428571,20.0,-8.0,11.0,19.0,9.0,0.23684210526315788,20.0,-9.0,11.0,20.0,12.0,0.2926829268292683,20.0,-6.0,16.0,22.0,13.0,0.29545454545454547,20.0,-6.0,17.0,23.0,13.0,0.2765957446808511,20.0,-7.0,19.0,26.0,13.0,0.26,20.0,-9.0,20.0,29.0,14.0,0.2641509433962264,20.0,-9.0,21.0,30.0,17.0,0.30357142857142855,18.0,-8.0,22.0,30.0,20.0,0.3389830508474576,17.0,-7.0,23.0,30.0,21.0,0.35,17.0,-7.0,23.0,30.0,24.0,0.4,17.0,-5.0,25.0,30.0,25.0,0.4166666666666667,18.0,-5.0,26.0,31.0,25.0,0.3968253968253968,18.0,-6.0,27.0,33.0,26.0,0.3939393939393939,18.0,-6.0,27.0,33.0,29.0,0.42028985507246375,18.0,-5.0,28.0,33.0,32.0,0.4444444444444444,14.0,-3.0,32.0,35.0,35.0,0.4666666666666667,11.0,-2.0,34.0,36.0,35.0,0.44871794871794873,14.0,-3.0,35.0,38.0,35.0,0.43209876543209874,15.0,-4.0,37.0,41.0,36.0,0.43902439024390244,15.0,-4.0,37.0,41.0,36.0,0.4235294117647059,16.0,-5.0,38.0,43.0,36.0,0.4186046511627907,17.0,-8.0,38.0,46.0,37.0,0.43023255813953487,17.0,-8.0,38.0,46.0,40.0,0.46511627906976744,17.0,-7.0,39.0,46.0,43.0,0.4942528735632184,14.0,-6.0,41.0,47.0
2008/2009,CD Numancia,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,1.0,1.0,0.0,3.0,0.5,9.0,0.0,4.0,4.0,3.0,0.42857142857142855,12.0,-1.0,5.0,6.0,3.0,0.3,16.0,-3.0,5.0,8.0,4.0,0.3076923076923077,15.0,-3.0,5.0,8.0,4.0,0.25,17.0,-4.0,5.0,9.0,4.0,0.21052631578947367,20.0,-8.0,5.0,13.0,7.0,0.35,16.0,-7.0,7.0,14.0,7.0,0.3181818181818182,17.0,-9.0,8.0,17.0,7.0,0.28,18.0,-11.0,10.0,21.0,10.0,0.35714285714285715,17.0,-10.0,14.0,24.0,11.0,0.3793103448275862,17.0,-10.0,15.0,25.0,11.0,0.34375,18.0,-12.0,15.0,27.0,14.0,0.4,15.0,-11.0,17.0,28.0,14.0,0.3684210526315789,16.0,-13.0,17.0,30.0,17.0,0.4146341463414634,15.0,-12.0,21.0,33.0,17.0,0.38636363636363635,16.0,-14.0,22.0,36.0,20.0,0.425531914893617,15.0,-12.0,24.0,36.0,20.0,0.4,17.0,-13.0,24.0,37.0,20.0,0.37735849056603776,17.0,-16.0,25.0,41.0,20.0,0.35714285714285715,17.0,-18.0,25.0,43.0,20.0,0.3389830508474576,18.0,-19.0,26.0,45.0,20.0,0.3333333333333333,19.0,-20.0,26.0,46.0,20.0,0.3333333333333333,20.0,-22.0,26.0,48.0,20.0,0.3333333333333333,20.0,-23.0,26.0,49.0,23.0,0.36507936507936506,19.0,-22.0,28.0,50.0,23.0,0.3484848484848485,19.0,-27.0,28.0,55.0,26.0,0.37681159420289856,19.0,-26.0,30.0,56.0,27.0,0.375,19.0,-26.0,33.0,59.0,28.0,0.37333333333333335,19.0,-26.0,33.0,59.0,28.0,0.358974358974359,20.0,-29.0,33.0,62.0,28.0,0.345679012345679,20.0,-30.0,34.0,64.0,28.0,0.34146341463414637,20.0,-31.0,35.0,66.0,31.0,0.36470588235294116,20.0,-29.0,37.0,66.0,32.0,0.37209302325581395,20.0,-29.0,37.0,66.0,35.0,0.4069767441860465,19.0,-28.0,38.0,66.0,35.0,0.4069767441860465,19.0,-29.0,38.0,67.0,35.0,0.40229885057471265,19.0,-31.0,38.0,69.0
2008/2009,RC Deportivo de La Coruña,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,0.5,10.0,0.0,2.0,2.0,4.0,0.5714285714285714,11.0,0.0,2.0,2.0,5.0,0.5,12.0,0.0,2.0,2.0,5.0,0.38461538461538464,13.0,-2.0,4.0,6.0,8.0,0.5,10.0,-1.0,5.0,6.0,9.0,0.47368421052631576,11.0,-1.0,5.0,6.0,9.0,0.45,12.0,-4.0,5.0,9.0,12.0,0.5454545454545454,9.0,-1.0,8.0,9.0,15.0,0.6,6.0,0.0,9.0,9.0,15.0,0.5357142857142857,7.0,-3.0,10.0,13.0,18.0,0.6206896551724138,7.0,-1.0,13.0,14.0,21.0,0.65625,7.0,0.0,14.0,14.0,24.0,0.6857142857142857,7.0,2.0,16.0,14.0,24.0,0.631578947368421,7.0,-1.0,16.0,17.0,27.0,0.6585365853658537,7.0,2.0,20.0,18.0,30.0,0.6818181818181818,6.0,3.0,22.0,19.0,30.0,0.6382978723404256,7.0,1.0,23.0,22.0,30.0,0.6,8.0,-4.0,23.0,27.0,30.0,0.5660377358490566,8.0,-5.0,23.0,28.0,33.0,0.5892857142857143,6.0,-2.0,26.0,28.0,34.0,0.576271186440678,8.0,-2.0,27.0,29.0,35.0,0.5833333333333334,8.0,-2.0,27.0,29.0,36.0,0.6,8.0,-2.0,28.0,30.0,39.0,0.65,8.0,-1.0,29.0,30.0,42.0,0.6666666666666666,6.0,1.0,34.0,33.0,42.0,0.6363636363636364,7.0,0.0,36.0,36.0,43.0,0.6231884057971014,7.0,0.0,37.0,37.0,43.0,0.5972222222222222,8.0,-2.0,38.0,40.0,43.0,0.5733333333333334,8.0,-3.0,39.0,42.0,46.0,0.5897435897435898,8.0,-2.0,40.0,42.0,49.0,0.6049382716049383,8.0,0.0,42.0,42.0,50.0,0.6097560975609756,8.0,0.0,43.0,43.0,53.0,0.6235294117647059,7.0,1.0,44.0,43.0,56.0,0.6511627906976745,7.0,2.0,46.0,44.0,57.0,0.6627906976744186,7.0,2.0,47.0,45.0,57.0,0.6627906976744186,7.0,1.0,47.0,46.0,58.0,0.6666666666666666,7.0,1.0,48.0,47.0
2008/2009,RCD Espanyol,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,1.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,7.0,1.0,4.0,2.0,3.0,1.0,7.0,0.7,8.0,0.0,3.0,3.0,7.0,0.5384615384615384,10.0,-1.0,4.0,5.0,8.0,0.5,9.0,-1.0,6.0,7.0,9.0,0.47368421052631576,10.0,-1.0,6.0,7.0,9.0,0.45,11.0,-4.0,6.0,10.0,12.0,0.5454545454545454,10.0,-3.0,7.0,10.0,12.0,0.48,12.0,-4.0,7.0,11.0,12.0,0.42857142857142855,16.0,-5.0,10.0,15.0,12.0,0.41379310344827586,16.0,-8.0,10.0,18.0,12.0,0.375,17.0,-9.0,10.0,19.0,13.0,0.37142857142857144,18.0,-9.0,11.0,20.0,13.0,0.34210526315789475,17.0,-10.0,12.0,22.0,13.0,0.3170731707317073,18.0,-11.0,14.0,25.0,14.0,0.3181818181818182,18.0,-11.0,15.0,26.0,15.0,0.3191489361702128,18.0,-11.0,17.0,28.0,15.0,0.3,18.0,-15.0,17.0,32.0,16.0,0.3018867924528302,19.0,-15.0,18.0,33.0,17.0,0.30357142857142855,19.0,-15.0,19.0,34.0,18.0,0.3050847457627119,19.0,-15.0,20.0,35.0,18.0,0.3,20.0,-17.0,20.0,37.0,21.0,0.35,19.0,-16.0,22.0,38.0,21.0,0.35,19.0,-18.0,22.0,40.0,21.0,0.3333333333333333,20.0,-19.0,22.0,41.0,22.0,0.3333333333333333,20.0,-19.0,25.0,44.0,22.0,0.3188405797101449,20.0,-20.0,25.0,45.0,25.0,0.3472222222222222,20.0,-18.0,28.0,46.0,26.0,0.3466666666666667,20.0,-18.0,28.0,46.0,29.0,0.3717948717948718,19.0,-17.0,29.0,46.0,32.0,0.3950617283950617,18.0,-14.0,32.0,46.0,35.0,0.4268292682926829,16.0,-12.0,34.0,46.0,38.0,0.4470588235294118,14.0,-9.0,37.0,46.0,38.0,0.4418604651162791,14.0,-10.0,39.0,49.0,41.0,0.47674418604651164,14.0,-9.0,40.0,49.0,44.0,0.5116279069767442,12.0,-6.0,43.0,49.0,47.0,0.5402298850574713,10.0,-3.0,46.0,49.0
2008/2009,FC Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-1.0,0.0,1.0,1.0,0.16666666666666666,15.0,-1.0,1.0,2.0,4.0,0.5714285714285714,9.0,4.0,7.0,3.0,7.0,0.7,6.0,5.0,10.0,5.0,10.0,0.7692307692307693,5.0,6.0,12.0,6.0,13.0,0.8125,4.0,11.0,18.0,7.0,16.0,0.8421052631578947,4.0,12.0,19.0,7.0,19.0,0.95,2.0,17.0,24.0,7.0,22.0,1.0,1.0,20.0,28.0,8.0,25.0,1.0,1.0,26.0,34.0,8.0,28.0,1.0,1.0,28.0,36.0,8.0,29.0,1.0,1.0,28.0,37.0,9.0,32.0,1.0,1.0,31.0,40.0,9.0,35.0,1.0,1.0,35.0,44.0,9.0,38.0,1.0,1.0,37.0,46.0,9.0,41.0,1.0,1.0,38.0,48.0,10.0,44.0,1.0,1.0,40.0,51.0,11.0,47.0,1.0,1.0,41.0,54.0,13.0,50.0,1.0,1.0,46.0,59.0,13.0,53.0,1.0,1.0,49.0,63.0,14.0,56.0,1.0,1.0,50.0,65.0,15.0,59.0,1.0,1.0,52.0,68.0,16.0,60.0,1.0,1.0,52.0,70.0,18.0,60.0,1.0,1.0,51.0,71.0,20.0,60.0,1.0,1.0,50.0,74.0,24.0,63.0,1.0,1.0,52.0,76.0,24.0,66.0,1.0,1.0,54.0,78.0,24.0,69.0,1.0,1.0,60.0,84.0,24.0,72.0,1.0,1.0,61.0,85.0,24.0,75.0,1.0,1.0,63.0,87.0,24.0,78.0,1.0,1.0,64.0,88.0,24.0,81.0,1.0,1.0,68.0,92.0,24.0,82.0,1.0,1.0,68.0,94.0,26.0,85.0,1.0,1.0,72.0,100.0,28.0,86.0,1.0,1.0,72.0,103.0,31.0,86.0,1.0,1.0,71.0,104.0,33.0,86.0,1.0,1.0,70.0,104.0,34.0,87.0,1.0,1.0,70.0,105.0,35.0
