Stage,,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18
,,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals,Pts,Norm_Pts,Position,Goals_Diff,Pos_Goals,Neg_Goals
Season,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/2009,AC Bellinzona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-2.0,1.0,3.0,0.0,0.0,10.0,-3.0,2.0,5.0,0.0,0.0,10.0,-5.0,2.0,7.0,1.0,0.1,10.0,-5.0,4.0,9.0,4.0,0.3076923076923077,9.0,-3.0,6.0,9.0,5.0,0.3333333333333333,8.0,-3.0,7.0,10.0,6.0,0.3333333333333333,8.0,-3.0,7.0,10.0,6.0,0.2857142857142857,9.0,-6.0,7.0,13.0,6.0,0.25,9.0,-7.0,8.0,15.0,7.0,0.2916666666666667,9.0,-7.0,9.0,16.0,8.0,0.32,9.0,-7.0,12.0,19.0,8.0,0.2857142857142857,9.0,-8.0,14.0,22.0,8.0,0.25806451612903225,9.0,-9.0,14.0,23.0,11.0,0.3235294117647059,8.0,-8.0,16.0,24.0,14.0,0.4,8.0,-7.0,17.0,24.0,17.0,0.4722222222222222,7.0,-6.0,18.0,24.0,17.0,0.4358974358974359,7.0,-9.0,18.0,27.0,17.0,0.40476190476190477,8.0,-12.0,18.0,30.0
2008/2009,BSC Young Boys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0,1.0,2.0,0.0,0.0,8.0,-2.0,2.0,4.0,1.0,0.1111111111111111,8.0,-2.0,2.0,4.0,1.0,0.1,8.0,-3.0,3.0,6.0,4.0,0.3076923076923077,8.0,-2.0,5.0,7.0,7.0,0.4666666666666667,7.0,1.0,8.0,7.0,8.0,0.4444444444444444,6.0,1.0,11.0,10.0,8.0,0.38095238095238093,7.0,-1.0,12.0,13.0,11.0,0.4583333333333333,5.0,0.0,14.0,14.0,14.0,0.5833333333333334,5.0,1.0,16.0,15.0,17.0,0.68,5.0,6.0,21.0,15.0,18.0,0.6428571428571429,5.0,6.0,21.0,15.0,19.0,0.6129032258064516,5.0,6.0,23.0,17.0,22.0,0.6470588235294118,5.0,7.0,26.0,19.0,25.0,0.7142857142857143,3.0,12.0,32.0,20.0,26.0,0.7222222222222222,4.0,12.0,33.0,21.0,29.0,0.7435897435897436,3.0,13.0,34.0,21.0,32.0,0.7619047619047619,3.0,16.0,37.0,21.0
2008/2009,FC Aarau,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,6.0,1.0,1.0,4.0,5.0,1.0,9.0,1.0,1.0,5.0,7.0,2.0,10.0,1.0,1.0,5.0,7.0,2.0,13.0,1.0,1.0,6.0,8.0,2.0,14.0,0.9333333333333333,2.0,6.0,9.0,3.0,15.0,0.8333333333333334,2.0,6.0,12.0,6.0,15.0,0.7142857142857143,4.0,4.0,12.0,8.0,16.0,0.6666666666666666,4.0,4.0,12.0,8.0,17.0,0.7083333333333334,4.0,4.0,13.0,9.0,20.0,0.8,3.0,8.0,17.0,9.0,20.0,0.7142857142857143,3.0,4.0,17.0,13.0,23.0,0.7419354838709677,3.0,5.0,19.0,14.0,23.0,0.6764705882352942,3.0,2.0,19.0,17.0,23.0,0.6571428571428571,5.0,1.0,19.0,18.0,24.0,0.6666666666666666,5.0,1.0,20.0,19.0,24.0,0.6153846153846154,5.0,-1.0,21.0,22.0,27.0,0.6428571428571429,5.0,0.0,22.0,22.0
2008/2009,FC Basel,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,9.0,1.0,2.0,4.0,5.0,1.0,9.0,0.9,3.0,2.0,5.0,3.0,12.0,0.9230769230769231,2.0,6.0,9.0,3.0,15.0,1.0,1.0,9.0,13.0,4.0,18.0,1.0,1.0,10.0,17.0,7.0,21.0,1.0,1.0,12.0,19.0,7.0,24.0,1.0,1.0,14.0,21.0,7.0,24.0,1.0,1.0,13.0,22.0,9.0,25.0,1.0,2.0,13.0,23.0,10.0,28.0,1.0,2.0,14.0,26.0,12.0,31.0,1.0,1.0,17.0,29.0,12.0,34.0,1.0,1.0,19.0,31.0,12.0,35.0,1.0,1.0,19.0,32.0,13.0,35.0,0.9722222222222222,2.0,17.0,32.0,15.0,38.0,0.9743589743589743,2.0,19.0,35.0,16.0,38.0,0.9047619047619048,2.0,15.0,36.0,21.0
2008/2009,FC Luzern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.0,1.0,2.0,0.0,0.0,9.0,-2.0,1.0,3.0,0.0,0.0,9.0,-3.0,1.0,4.0,1.0,0.1,9.0,-3.0,3.0,6.0,1.0,0.07692307692307693,10.0,-4.0,3.0,7.0,1.0,0.06666666666666667,10.0,-7.0,3.0,10.0,1.0,0.05555555555555555,10.0,-9.0,5.0,14.0,2.0,0.09523809523809523,10.0,-9.0,6.0,15.0,2.0,0.08333333333333333,10.0,-11.0,6.0,17.0,2.0,0.08333333333333333,10.0,-12.0,6.0,18.0,2.0,0.08,10.0,-15.0,6.0,21.0,2.0,0.07142857142857142,10.0,-16.0,6.0,22.0,5.0,0.16129032258064516,10.0,-15.0,7.0,22.0,8.0,0.23529411764705882,10.0,-12.0,10.0,22.0,8.0,0.22857142857142856,10.0,-17.0,11.0,28.0,8.0,0.2222222222222222,10.0,-20.0,11.0,31.0,9.0,0.23076923076923078,10.0,-20.0,12.0,32.0,12.0,0.2857142857142857,10.0,-16.0,17.0,33.0
2008/2009,FC Sion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-2.0,1.0,3.0,3.0,0.5,6.0,-1.0,3.0,4.0,3.0,0.3333333333333333,7.0,-3.0,4.0,7.0,6.0,0.6,6.0,-1.0,6.0,7.0,6.0,0.46153846153846156,6.0,-3.0,6.0,9.0,9.0,0.6,5.0,-2.0,8.0,10.0,9.0,0.5,5.0,-4.0,9.0,13.0,10.0,0.47619047619047616,5.0,-4.0,10.0,14.0,11.0,0.4583333333333333,6.0,-4.0,13.0,17.0,12.0,0.5,6.0,-4.0,14.0,18.0,12.0,0.48,6.0,-9.0,14.0,23.0,13.0,0.4642857142857143,7.0,-9.0,14.0,23.0,13.0,0.41935483870967744,7.0,-12.0,14.0,26.0,13.0,0.38235294117647056,7.0,-13.0,15.0,28.0,16.0,0.45714285714285713,6.0,-11.0,18.0,29.0,16.0,0.4444444444444444,8.0,-12.0,18.0,30.0,17.0,0.4358974358974359,8.0,-12.0,19.0,31.0,18.0,0.42857142857142855,7.0,-12.0,19.0,31.0
2008/2009,FC Vaduz,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,0.5,7.0,-1.0,2.0,3.0,4.0,0.4444444444444444,6.0,-1.0,2.0,3.0,5.0,0.5,7.0,-1.0,3.0,4.0,5.0,0.38461538461538464,7.0,-5.0,3.0,8.0,5.0,0.3333333333333333,9.0,-6.0,4.0,10.0,6.0,0.3333333333333333,9.0,-6.0,4.0,10.0,7.0,0.3333333333333333,8.0,-6.0,6.0,12.0,7.0,0.2916666666666667,8.0,-12.0,7.0,19.0,10.0,0.4166666666666667,8.0,-11.0,8.0,19.0,10.0,0.4,8.0,-15.0,8.0,23.0,11.0,0.39285714285714285,8.0,-15.0,8.0,23.0,11.0,0.3548387096774194,8.0,-18.0,8.0,26.0,11.0,0.3235294117647059,9.0,-20.0,8.0,28.0,11.0,0.3142857142857143,9.0,-22.0,9.0,31.0,11.0,0.3055555555555556,9.0,-23.0,9.0,32.0,14.0,0.358974358974359,9.0,-22.0,10.0,32.0,14.0,0.3333333333333333,9.0,-23.0,10.0,33.0
